./nestedMerge/EQ_is_prime2EQ_LoopMult20/libA: equiv,1.5076   ; unknown,0.0000   ; equiv,0.3788  
./nestedMerge/EQ_is_prime2EQ_LoopUnreach20/libA: equiv,1.0487   ; unknown,0.0000   ; equiv,0.1412  
./nestedMerge/EQ_is_prime2EQ_UnchLoop/libA: unknown,0.0000   ; unknown,0.0000   ; unknown,0.0000  
./nestedMerge/EQ_is_prime2EQ_divide/libA: equiv,0.2082   ; unknown,0.0000   ; equiv,0.1101  
./nestedMerge/EQ_is_prime2EQ_getSign2/libA: equiv,0.9382   ; unknown,0.0000   ; equiv,0.1459  
./nestedMerge/EQ_is_prime2EQ_is_prime1/libA: equiv,1.0209   ; unknown,0.0000   ; equiv,0.1123  
./nestedMerge/EQ_is_prime2EQ_is_prime2/libA: equiv,1.1036   ; unknown,0.0000   ; not equiv,0.6803  
./nestedMerge/EQ_is_prime2EQ_is_prime3/libA: equiv,2.3519   ; unknown,0.0000   ; equiv,0.6473  
./nestedMerge/EQ_is_prime2EQ_ltfive/libA: not equiv,0.5414   ; unknown,0.0000   ; not equiv,0.1961  
./nestedMerge/EQ_is_prime2EQ_ltfiveBound/libA: equiv,1.1436   ; unknown,0.0000   ; equiv,0.1935  
./nestedMerge/EQ_is_prime2EQ_multiple/libA: equiv,0.7788   ; unknown,0.0000   ; not equiv,0.2408  
./nestedMerge/EQ_is_prime2EQ_multipleBound/libA: equiv,0.8391   ; unknown,0.0000   ; equiv,0.3430  
./nestedMerge/EQ_is_prime2EQ_odd/libA: equiv,0.7942   ; unknown,0.0000   ; equiv,16.4337 
./nestedMerge/EQ_is_prime2EQ_one/libA: not equiv,0.4344   ; unknown,0.0000   ; not equiv,0.1632  
./nestedMerge/EQ_is_prime2EQ_oneBound/libA: equiv,1.1490   ; unknown,0.0000   ; equiv,0.1831  
./nestedMerge/EQ_is_prime2EQ_oneN2/libA: equiv,1.0541   ; unknown,0.0000   ; not equiv,0.1627  
./nestedMerge/EQ_is_prime2EQ_pos/libA: equiv,1.1828   ; unknown,0.0000   ; timeout,300.0000
./nestedMerge/EQ_is_prime2EQ_pos2/libA: equiv,11.4047  ; unknown,0.0000   ; timeout,300.0000
./nestedMerge/EQ_is_prime2EQ_pos3/libA: equiv,0.9104   ; unknown,0.0000   ; equiv,0.1184  
./nestedMerge/EQ_is_prime2EXTRA_ultra_prime_sum/libA: equiv,109.5213 ; unknown,0.0000   ; timeout,300.0000
./nestedMerge/EQ_is_prime2NEQ_LoopMult20/libA: not equiv,2.1139   ; unknown,0.0000   ; not equiv,0.3076  
./nestedMerge/EQ_is_prime2NEQ_LoopUnreach20/libA: not equiv,0.4038   ; unknown,0.0000   ; not equiv,0.1442  
./nestedMerge/EQ_is_prime2NEQ_getSign/libA: equiv,0.8665   ; unknown,0.0000   ; equiv,0.1431  
./nestedMerge/EQ_is_prime3EQ_UnchLoop/libA: unknown,0.0000   ; unknown,0.0000   ; unknown,0.0000  
./nestedMerge/EQ_is_prime3EQ_is_prime2/libA: equiv,3.2035   ; unknown,0.0000   ; equiv,0.7269  
./nestedMerge/EQ_is_prime3EQ_odd/libA: equiv,0.8219   ; unknown,0.0000   ; timeout,300.0000
./nestedMerge/EQ_is_prime3EQ_pos/libA: timeout,300.0000 ; unknown,0.0000   ; timeout,300.0000
./nestedMerge/EQ_is_prime3EQ_pos2/libA: equiv,22.3594  ; unknown,0.0000   ; timeout,300.0000
./nestedMerge/EQ_is_prime3EXTRA_ultra_prime_sum/libA: equiv,42.4995  ; unknown,0.0000   ; timeout,300.0000
./nestedMerge/EQ_ltfiveBoundEQ_UnchLoop/libA: unknown,0.0000   ; unknown,0.0000   ; unknown,0.0000  
./nestedMerge/EQ_ltfiveBoundEQ_is_prime2/libA: equiv,1.3229   ; unknown,0.0000   ; equiv,0.4118  
./nestedMerge/EQ_ltfiveBoundEQ_odd/libA: equiv,1.8749   ; unknown,0.0000   ; equiv,1.4795  
./nestedMerge/EQ_ltfiveBoundEQ_pos/libA: equiv,13.1226  ; unknown,0.0000   ; equiv,30.7001 
./nestedMerge/EQ_ltfiveBoundEQ_pos2/libA: equiv,11.4339  ; unknown,0.0000   ; equiv,30.6158 
./nestedMerge/EQ_ltfiveBoundEXTRA_ultra_prime_sum/libA: equiv,109.7658 ; unknown,0.0000   ; equiv,158.8090
./nestedMerge/EQ_ltfiveEQ_UnchLoop/libA: unknown,0.0000   ; unknown,0.0000   ; unknown,0.0000  
./nestedMerge/EQ_ltfiveEQ_is_prime2/libA: equiv,1.2766   ; unknown,0.0000   ; equiv,1.5936  
./nestedMerge/EQ_ltfiveEQ_odd/libA: equiv,11.4355  ; unknown,0.0000   ; equiv,43.4726 
./nestedMerge/EQ_ltfiveEQ_pos/libA: equiv,13.1312  ; unknown,0.0000   ; timeout,300.0000
./nestedMerge/EQ_ltfiveEQ_pos2/libA: equiv,11.4065  ; unknown,0.0000   ; timeout,300.0000
./nestedMerge/EQ_ltfiveEXTRA_ultra_prime_sum/libA: equiv,109.6246 ; unknown,0.0000   ; timeout,300.0000
./nestedMerge/EQ_multipleBoundEQ_UnchLoop/libA: unknown,0.0000   ; unknown,0.0000   ; unknown,0.0000  
./nestedMerge/EQ_multipleBoundEQ_is_prime2/libA: equiv,1.1627   ; unknown,0.0000   ; equiv,0.1561  
./nestedMerge/EQ_multipleBoundEQ_odd/libA: equiv,11.9381  ; unknown,0.0000   ; timeout,300.0000
./nestedMerge/EQ_multipleBoundEQ_pos/libA: equiv,11.3762  ; unknown,0.0000   ; equiv,141.2092
./nestedMerge/EQ_multipleBoundEQ_pos2/libA: equiv,11.3561  ; unknown,0.0000   ; timeout,300.0000
