./nestedMerge/EQ_UnchLoopEQ_pos3/libA: equiv,2.2394   ; equiv,2.4158   ; equiv,0.6519   ; unknown,0.0000  
./nestedMerge/EQ_UnchLoopEXTRA_ultra_prime_sum/libA: equiv,115.7964 ; equiv,67.0390  ; equiv,122.6870 ; unknown,0.0000  
./nestedMerge/EQ_UnchLoopNEQ_LoopMult20/libA: equiv,2.4830   ; equiv,1.5920   ; equiv,0.4729   ; unknown,0.0000  
./nestedMerge/EQ_UnchLoopNEQ_LoopUnreach20/libA: equiv,0.9191   ; equiv,0.8774   ; equiv,0.2316   ; unknown,0.0000  
./nestedMerge/EQ_UnchLoopNEQ_getSign/libA: equiv,0.8641   ; equiv,0.8890   ; equiv,0.2909   ; unknown,0.0000  
./nestedMerge/EQ_divideEQ_LoopMult20/libA: equiv,2.0778   ; equiv,2.0589   ; equiv,1.3928   ; unknown,0.0000  
./nestedMerge/EQ_divideEQ_UnchLoop/libA: equiv,40.3528  ; equiv,40.6471  ; equiv,40.4303  ; unknown,0.0000  
./nestedMerge/EQ_divideEQ_odd/libA: equiv,15.6360  ; equiv,16.0954  ; equiv,14.2694  ; unknown,0.0000  
./nestedMerge/EQ_divideEQ_pos/libA: equiv,25.4892  ; equiv,26.6370  ; equiv,23.8732  ; unknown,0.0000  
./nestedMerge/EQ_divideEQ_pos2/libA: equiv,0.7828   ; equiv,0.8854   ; equiv,0.3944   ; unknown,0.0000  
./nestedMerge/EQ_divideEXTRA_ultra_prime_sum/libA: equiv,92.2506  ; equiv,55.3265  ; equiv,105.6705 ; unknown,0.0000  
./nestedMerge/EQ_getSign2EQ_LoopMult20/libA: equiv,2.1526   ; equiv,2.0557   ; equiv,1.3902   ; unknown,0.0000  
./nestedMerge/EQ_getSign2EQ_UnchLoop/libA: equiv,40.3353  ; equiv,40.6019  ; equiv,40.3914  ; unknown,0.0000  
./nestedMerge/EQ_getSign2EQ_odd/libA: equiv,12.9697  ; equiv,13.1397  ; equiv,11.3353  ; unknown,0.0000  
./nestedMerge/EQ_getSign2EQ_pos/libA: equiv,24.9703  ; equiv,25.8397  ; equiv,23.4661  ; unknown,0.0000  
./nestedMerge/EQ_getSign2EQ_pos2/libA: equiv,0.7960   ; equiv,0.8742   ; equiv,0.3778   ; unknown,0.0000  
./nestedMerge/EQ_getSign2EXTRA_ultra_prime_sum/libA: equiv,101.7231 ; equiv,58.1543  ; equiv,109.8790 ; unknown,0.0000  
./nestedMerge/EQ_is_prime1EQ_LoopMult20/libA: equiv,1.9814   ; equiv,2.0254   ; equiv,1.3591   ; unknown,0.0000  
./nestedMerge/EQ_is_prime1EQ_UnchLoop/libA: equiv,40.3335  ; equiv,40.6281  ; equiv,40.4286  ; unknown,0.0000  
./nestedMerge/EQ_is_prime1EQ_odd/libA: equiv,15.5648  ; equiv,15.8739  ; equiv,14.0410  ; unknown,0.0000  
./nestedMerge/EQ_is_prime1EQ_pos/libA: equiv,12.9906  ; equiv,13.4925  ; equiv,12.7549  ; unknown,0.0000  
./nestedMerge/EQ_is_prime1EQ_pos2/libA: equiv,0.7266   ; equiv,0.8340   ; equiv,0.3828   ; unknown,0.0000  
./nestedMerge/EQ_is_prime1EXTRA_ultra_prime_sum/libA: equiv,103.2602 ; equiv,68.1351  ; equiv,131.1932 ; unknown,0.0000  
./nestedMerge/EQ_is_prime2EQ_LoopMult20/libA: equiv,0.9765   ; equiv,1.4535   ; equiv,0.9432   ; unknown,0.0000  
./nestedMerge/EQ_is_prime2EQ_UnchLoop/libA: equiv,0.3056   ; equiv,0.5855   ; equiv,0.3530   ; unknown,0.0000  
./nestedMerge/EQ_is_prime2EQ_odd/libA: equiv,21.9010  ; equiv,23.1175  ; equiv,21.4870  ; unknown,0.0000  
./nestedMerge/EQ_is_prime2EQ_pos/libA: equiv,22.8406  ; equiv,24.1714  ; equiv,22.3525  ; unknown,0.0000  
./nestedMerge/EQ_is_prime2EQ_pos2/libA: equiv,0.4729   ; equiv,0.5187   ; equiv,0.1582   ; unknown,0.0000  
./nestedMerge/EQ_is_prime2EXTRA_ultra_prime_sum/libA: equiv,153.4191 ; equiv,83.3671  ; equiv,155.2415 ; unknown,0.0000  
./nestedMerge/EQ_is_prime3EQ_LoopMult20/libA: equiv,1.6786   ; equiv,1.6560   ; equiv,0.9110   ; unknown,0.0000  
./nestedMerge/EQ_is_prime3EQ_UnchLoop/libA: equiv,40.3240  ; equiv,40.3391  ; equiv,40.1364  ; unknown,0.0000  
./nestedMerge/EQ_is_prime3EQ_odd/libA: timeout,300.0000 ; timeout,300.0000 ; timeout,300.0000 ; unknown,0.0000  
./nestedMerge/EQ_is_prime3EQ_pos/libA: equiv,21.9801  ; equiv,11.8932  ; equiv,22.4670  ; unknown,0.0000  
./nestedMerge/EQ_is_prime3EQ_pos2/libA: equiv,0.5200   ; equiv,0.5732   ; equiv,0.3207   ; unknown,0.0000  
./nestedMerge/EQ_is_prime3EXTRA_ultra_prime_sum/libA: equiv,78.4450  ; equiv,45.6725  ; equiv,87.4083  ; unknown,0.0000  
./nestedMerge/EQ_ltfiveBoundEQ_LoopMult20/libA: equiv,1.0247   ; equiv,1.3495   ; equiv,0.8024   ; unknown,0.0000  
./nestedMerge/EQ_ltfiveBoundEQ_UnchLoop/libA: equiv,0.2566   ; equiv,0.3783   ; equiv,0.1468   ; unknown,0.0000  
./nestedMerge/EQ_ltfiveBoundEQ_odd/libA: equiv,1.8691   ; equiv,2.0858   ; equiv,1.6220   ; unknown,0.0000  
./nestedMerge/EQ_ltfiveBoundEQ_pos/libA: equiv,25.1558  ; equiv,31.3219  ; equiv,29.4825  ; unknown,0.0000  
./nestedMerge/EQ_ltfiveBoundEQ_pos2/libA: equiv,0.4365   ; equiv,0.5810   ; equiv,0.1538   ; unknown,0.0000  
./nestedMerge/EQ_ltfiveBoundEXTRA_ultra_prime_sum/libA: equiv,145.4349 ; equiv,83.1622  ; equiv,154.7843 ; unknown,0.0000  
./nestedMerge/EQ_ltfiveEQ_LoopMult20/libA: equiv,1.0577   ; equiv,1.4033   ; equiv,0.8729   ; unknown,0.0000  
./nestedMerge/EQ_ltfiveEQ_UnchLoop/libA: equiv,0.2385   ; equiv,0.3834   ; equiv,0.1459   ; unknown,0.0000  
./nestedMerge/EQ_ltfiveEQ_odd/libA: equiv,22.8832  ; equiv,23.8887  ; equiv,22.2981  ; unknown,0.0000  
./nestedMerge/EQ_ltfiveEQ_pos/libA: equiv,27.3283  ; equiv,31.2379  ; equiv,29.3355  ; unknown,0.0000  
./nestedMerge/EQ_ltfiveEQ_pos2/libA: equiv,0.3958   ; equiv,0.6157   ; equiv,0.1540   ; unknown,0.0000  
./nestedMerge/EQ_ltfiveEXTRA_ultra_prime_sum/libA: equiv,145.2440 ; equiv,83.0416  ; equiv,154.6406 ; unknown,0.0000  
./nestedMerge/EQ_multipleBoundEQ_LoopMult20/libA: equiv,1.0168   ; equiv,0.9825   ; equiv,0.4234   ; unknown,0.0000  
./nestedMerge/EQ_multipleBoundEQ_UnchLoop/libA: equiv,40.2929  ; equiv,40.3108  ; equiv,40.1540  ; unknown,0.0000  
./nestedMerge/EQ_multipleBoundEQ_odd/libA: equiv,12.2759  ; equiv,12.3130  ; equiv,11.6428  ; unknown,0.0000  
./nestedMerge/EQ_multipleBoundEQ_pos/libA: equiv,22.2812  ; equiv,23.9791  ; equiv,22.2055  ; unknown,0.0000  
./nestedMerge/EQ_multipleBoundEQ_pos2/libA: equiv,0.3093   ; equiv,0.4321   ; equiv,0.1727   ; unknown,0.0000  
./nestedMerge/EQ_multipleBoundEXTRA_ultra_prime_sum/libA: equiv,82.9384  ; equiv,61.3676  ; equiv,114.1453 ; unknown,0.0000  
./nestedMerge/EQ_multipleEQ_LoopMult20/libA: equiv,2.1339   ; equiv,2.0676   ; equiv,1.3696   ; unknown,0.0000  
./nestedMerge/EQ_multipleEQ_UnchLoop/libA: equiv,40.3309  ; equiv,40.6402  ; equiv,40.4223  ; unknown,0.0000  
./nestedMerge/EQ_multipleEQ_odd/libA: equiv,15.6756  ; equiv,15.7970  ; equiv,13.8585  ; unknown,0.0000  
./nestedMerge/EQ_multipleEQ_pos/libA: equiv,12.8892  ; equiv,13.4603  ; equiv,12.7858  ; unknown,0.0000  
./nestedMerge/EQ_multipleEQ_pos2/libA: equiv,0.7647   ; equiv,0.7469   ; equiv,0.3832   ; unknown,0.0000  
./nestedMerge/EQ_multipleEXTRA_ultra_prime_sum/libA: equiv,88.8752  ; equiv,63.5574  ; equiv,114.9933 ; unknown,0.0000  
./nestedMerge/EQ_oddEQ_Add/libA: equiv,0.1828   ; equiv,0.1522   ; equiv,0.0408   ; unknown,0.0000  
./nestedMerge/EQ_oddEQ_Const/libA: equiv,0.1646   ; equiv,0.1638   ; equiv,0.0401   ; unknown,0.0000  
./nestedMerge/EQ_oddEQ_LoopMult20/libA: equiv,1.9791   ; equiv,2.0150   ; equiv,1.3594   ; unknown,0.0000  
./nestedMerge/EQ_oddEQ_LoopUnreach20/libA: equiv,1.2056   ; equiv,1.2595   ; equiv,0.5752   ; unknown,0.0000  
./nestedMerge/EQ_oddEQ_UnchLoop/libA: equiv,40.3346  ; equiv,40.6138  ; equiv,40.4086  ; unknown,0.0000  
./nestedMerge/EQ_oddEQ_divide/libA: equiv,0.4404   ; equiv,0.4425   ; equiv,0.1313   ; unknown,0.0000  
./nestedMerge/EQ_oddEQ_getSign2/libA: equiv,2.8470   ; equiv,2.7078   ; equiv,0.8705   ; unknown,0.0000  
./nestedMerge/EQ_oddEQ_is_prime1/libA: equiv,2.8843   ; equiv,2.7614   ; equiv,0.9301   ; unknown,0.0000  
./nestedMerge/EQ_oddEQ_is_prime2/libA: not equiv,3.2644   ; not equiv,4.4514   ; not equiv,0.0000   ; unknown,0.0000  
./nestedMerge/EQ_oddEQ_is_prime3/libA: equiv,7.0304   ; equiv,52.3724  ; equiv,41.9629  ; unknown,0.0000  
./nestedMerge/EQ_oddEQ_ltfive/libA: not equiv,1.7719   ; not equiv,2.1515   ; not equiv,0.0000   ; unknown,0.0000  
./nestedMerge/EQ_oddEQ_ltfiveBound/libA: equiv,1.2232   ; equiv,1.4007   ; equiv,0.6837   ; unknown,0.0000  
./nestedMerge/EQ_oddEQ_multiple/libA: not equiv,1.3346   ; not equiv,1.1144   ; not equiv,0.4119   ; unknown,0.0000  
