./nestedMerge/EQ_is_prime1EQ_pos2/libA: equiv,0.2812   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0300  
./nestedMerge/EQ_is_prime1EXTRA_ultra_prime_sum/libA: equiv,76.2418  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.1700  
./nestedMerge/EQ_is_prime2EQ_Add/libA: unknown,0.0000   ; unknown,0.0000   ; unknown,0.0000   ; unknown,0.0100  
./nestedMerge/EQ_is_prime2EQ_Const/libA: unknown,0.0000   ; unknown,0.0000   ; unknown,0.0000   ; unknown,0.0100  
./nestedMerge/EQ_is_prime2EQ_LoopMult20/libA: equiv,0.7856   ; unknown,0.0000   ; equiv,0.3971   ; equiv,10.3000 
./nestedMerge/EQ_is_prime2EQ_LoopUnreach20/libA: equiv,0.5586   ; unknown,0.0000   ; equiv,0.1639   ; equiv,0.0400  
./nestedMerge/EQ_is_prime2EQ_UnchLoop/libA: unknown,0.0000   ; unknown,0.0000   ; unknown,0.0000   ; unknown,0.0100  
./nestedMerge/EQ_is_prime2EQ_divide/libA: equiv,0.3529   ; unknown,0.0000   ; equiv,0.1566   ; equiv,0.0200  
./nestedMerge/EQ_is_prime2EQ_getSign2/libA: equiv,0.5066   ; unknown,0.0000   ; equiv,0.1728   ; equiv,0.0300  
./nestedMerge/EQ_is_prime2EQ_is_prime1/libA: equiv,0.5019   ; unknown,0.0000   ; equiv,0.1311   ; unknown,0.0200  
./nestedMerge/EQ_is_prime2EQ_is_prime2/libA: not equiv,2.1450   ; unknown,0.0000   ; not equiv,0.7431   ; unknown,0.0200  
./nestedMerge/EQ_is_prime2EQ_is_prime3/libA: equiv,2.0251   ; unknown,0.0000   ; equiv,0.7380   ; unknown,0.0200  
./nestedMerge/EQ_is_prime2EQ_ltfive/libA: not equiv,1.0410   ; unknown,0.0000   ; not equiv,0.1889   ; equiv,0.0400  
./nestedMerge/EQ_is_prime2EQ_ltfiveBound/libA: equiv,0.7868   ; unknown,0.0000   ; equiv,0.1906   ; equiv,0.0600  
./nestedMerge/EQ_is_prime2EQ_multiple/libA: not equiv,0.9727   ; unknown,0.0000   ; not equiv,0.2715   ; equiv,0.0200  
./nestedMerge/EQ_is_prime2EQ_multipleBound/libA: equiv,0.6315   ; unknown,0.0000   ; equiv,0.2320   ; equiv,0.0300  
./nestedMerge/EQ_is_prime2EQ_odd/libA: equiv,21.8711  ; unknown,0.0000   ; equiv,14.2372  ; unknown,0.0200  
./nestedMerge/EQ_is_prime2EQ_one/libA: equiv,0.6180   ; unknown,0.0000   ; equiv,0.1687   ; equiv,0.0300  
./nestedMerge/EQ_is_prime2EQ_oneBound/libA: equiv,0.6782   ; unknown,0.0000   ; equiv,0.1809   ; equiv,0.0500  
./nestedMerge/EQ_is_prime2EQ_oneN2/libA: equiv,0.5840   ; unknown,0.0000   ; equiv,0.1516   ; equiv,0.0300  
./nestedMerge/EQ_is_prime2EQ_pos/libA: equiv,23.0263  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0200  
./nestedMerge/EQ_is_prime2EQ_pos2/libA: equiv,0.4758   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0400  
./nestedMerge/EQ_is_prime2EQ_pos3/libA: equiv,0.3494   ; unknown,0.0000   ; equiv,0.1597   ; equiv,0.0300  
./nestedMerge/EQ_is_prime2EXTRA_ultra_prime_sum/libA: equiv,141.9084 ; unknown,0.0000   ; timeout,300.0000 ; timeout,300.0000
./nestedMerge/EQ_is_prime2NEQ_LoopMult20/libA: not equiv,1.0231   ; unknown,0.0000   ; not equiv,0.3287   ; not equiv,0.1600  
