./nestedMerge/EQ_divideEQ_is_prime2/libA CC2-Hybrid: not equiv ,1.6461   (Solve) ,,1.174  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: not equiv ,0.7501  	llReve: unknown  ,0.0200  
./nestedMerge/EQ_divideEQ_odd/libA  CC2-Hybrid: equiv    ,12.7006  (Solve) ,,11.928 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: unknown  ,0.0200  
./nestedMerge/EQ_divideEQ_pos/libA  CC2-Hybrid: equiv    ,22.4055  (Solve) ,,21.489 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: unknown  ,0.0400  
./nestedMerge/EQ_divideEQ_pos2/libA CC2-Hybrid: equiv    ,0.3406   (Solve) ,,0.148  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: not equiv ,0.0400  
./nestedMerge/EQ_divideEXTRA_ultra_prime_sum/libA CC2-Hybrid: equiv    ,76.2706  (Solve) ,,74.630 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: unknown  ,0.7000  
./nestedMerge/EQ_getSign2EQ_UnchLoop/libA CC2-Hybrid: unknown  ,0.0000   (Solve) ,,0.000  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: unknown  ,0.0000  	llReve: unknown  ,0.0200  
./nestedMerge/EQ_getSign2EQ_is_prime2/libA CC2-Hybrid: not equiv ,1.5743   (Solve) ,,1.096  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: not equiv ,0.6883  	llReve: unknown  ,0.0300  
./nestedMerge/EQ_getSign2EQ_odd/libA CC2-Hybrid: equiv    ,11.3445  (Solve) ,,10.598 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,14.1298 	llReve: unknown  ,0.0400  
./nestedMerge/EQ_getSign2EQ_pos/libA CC2-Hybrid: equiv    ,22.3173  (Solve) ,,21.419 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: unknown  ,0.0100  
./nestedMerge/EQ_getSign2EQ_pos2/libA CC2-Hybrid: equiv    ,0.3187   (Solve) ,,0.146  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: not equiv ,0.0300  
./nestedMerge/EQ_getSign2EXTRA_ultra_prime_sum/libA CC2-Hybrid: equiv    ,76.8805  (Solve) ,,75.246 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: unknown  ,1.6400  
./nestedMerge/EQ_is_prime1EQ_UnchLoop/libA CC2-Hybrid: unknown  ,0.0000   (Solve) ,,0.000  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: unknown  ,0.0000  	llReve: unknown  ,0.0100  
./nestedMerge/EQ_is_prime1EQ_is_prime2/libA CC2-Hybrid: not equiv ,1.5717   (Solve) ,,1.143  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: not equiv ,0.7389  	llReve: unknown  ,0.0200  
./nestedMerge/EQ_is_prime1EQ_odd/libA CC2-Hybrid: equiv    ,12.6506  (Solve) ,,11.894 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: unknown  ,0.0100  
./nestedMerge/EQ_is_prime1EQ_pos/libA CC2-Hybrid: equiv    ,11.2977  (Solve) ,,11.058 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: unknown  ,0.0300  
