./nestedMerge/EQ_UnchLoopEQ_multiple/libA CC2-Hybrid: equiv    ,0.7936   (Solve) ,,0.248  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.0842  	llReve: equiv    ,0.0200  
./nestedMerge/EQ_UnchLoopEQ_multipleBound/libA CC2-Hybrid: equiv    ,0.8200   (Solve) ,,0.248  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.0864  	llReve: equiv    ,0.0200  
./nestedMerge/EQ_UnchLoopEQ_odd/libA CC2-Hybrid: equiv    ,0.8271   (Solve) ,,0.268  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.0849  	llReve: unknown  ,0.0100  
./nestedMerge/EQ_UnchLoopEQ_one/libA CC2-Hybrid: not equiv ,0.6026   (Solve) ,,0.324  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: not equiv ,0.0898  	llReve: not equiv ,0.0200  
./nestedMerge/EQ_UnchLoopEQ_oneBound/libA CC2-Hybrid: equiv    ,0.4197   (Solve) ,,0.231  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.0889  	llReve: equiv    ,0.0200  
./nestedMerge/EQ_UnchLoopEQ_oneN2/libA CC2-Hybrid: equiv    ,1.0695   (Solve) ,,0.475  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.0860  	llReve: equiv    ,0.0200  
./nestedMerge/EQ_UnchLoopEQ_pos/libA CC2-Hybrid: equiv    ,11.1416  (Solve) ,,10.961 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.1028  	llReve: unknown  ,0.0100  
./nestedMerge/EQ_UnchLoopEQ_pos2/libA CC2-Hybrid: equiv    ,0.2424   (Solve) ,,0.113  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.0969  	llReve: not equiv ,0.0300  
./nestedMerge/EQ_UnchLoopEQ_pos3/libA CC2-Hybrid: equiv    ,0.7708   (Solve) ,,0.210  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.0852  	llReve: equiv    ,0.0200  
./nestedMerge/EQ_UnchLoopEXTRA_ultra_prime_sum/libA CC2-Hybrid: equiv    ,78.5673  (Solve) ,,77.331 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.1075  	llReve: timeout  ,300.0000
./nestedMerge/EQ_UnchLoopNEQ_LoopMult20/libA CC2-Hybrid: equiv    ,1.0412   (Solve) ,,0.295  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.1009  	llReve: equiv    ,0.0300  
./nestedMerge/EQ_UnchLoopNEQ_LoopUnreach20/libA CC2-Hybrid: equiv    ,0.9031   (Solve) ,,0.187  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.1033  	llReve: equiv    ,0.0300  
./nestedMerge/EQ_UnchLoopNEQ_getSign/libA CC2-Hybrid: equiv    ,0.9389   (Solve) ,,0.240  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.1030  	llReve: equiv    ,0.0300  
./nestedMerge/EQ_divideEQ_UnchLoop/libA CC2-Hybrid: equiv    ,40.3020  (Solve) ,,40.149 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.1318  	llReve: equiv    ,0.1400  
./nestedMerge/EQ_divideEQ_is_prime2/libA CC2-Hybrid: not equiv ,1.5774   (Solve) ,,1.168  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: not equiv ,0.7788  	llReve: unknown  ,0.0200  
./nestedMerge/EQ_divideEQ_odd/libA  CC2-Hybrid: equiv    ,12.5610  (Solve) ,,11.941 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: unknown  ,0.0100  
./nestedMerge/EQ_divideEQ_pos/libA  CC2-Hybrid: equiv    ,22.4149  (Solve) ,,21.496 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: unknown  ,0.0200  
./nestedMerge/EQ_divideEQ_pos2/libA CC2-Hybrid: equiv    ,0.3241   (Solve) ,,0.141  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: not equiv ,0.0400  
./nestedMerge/EQ_divideEXTRA_ultra_prime_sum/libA CC2-Hybrid: equiv    ,76.5784  (Solve) ,,74.928 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: unknown  ,0.2400  
./nestedMerge/EQ_getSign2EQ_UnchLoop/libA CC2-Hybrid: equiv    ,40.3031  (Solve) ,,40.134 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.1257  	llReve: equiv    ,0.1400  
./nestedMerge/EQ_getSign2EQ_is_prime2/libA CC2-Hybrid: not equiv ,1.4855   (Solve) ,,1.092  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: not equiv ,0.7025  	llReve: unknown  ,0.0200  
./nestedMerge/EQ_getSign2EQ_odd/libA CC2-Hybrid: equiv    ,11.1230  (Solve) ,,10.543 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,14.8703 	llReve: unknown  ,0.0100  
./nestedMerge/EQ_getSign2EQ_pos/libA CC2-Hybrid: equiv    ,21.9741  (Solve) ,,21.249 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: unknown  ,0.0200  
