./nestedMerge/EQ_is_prime2EQ_pos/libA: equiv,22.8310  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0200  
./nestedMerge/EQ_is_prime2EQ_pos2/libA: equiv,0.4782   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0400  
./nestedMerge/EQ_is_prime2EQ_pos3/libA: equiv,0.3558   ; unknown,0.0000   ; equiv,0.1614   ; equiv,0.0300  
./nestedMerge/EQ_is_prime2EXTRA_ultra_prime_sum/libA: equiv,153.7428 ; unknown,0.0000   ; timeout,300.0000 ; timeout,300.0000
./nestedMerge/EQ_is_prime2NEQ_LoopMult20/libA: not equiv,1.0155   ; unknown,0.0000   ; not equiv,0.3415   ; not equiv,0.1700  
./nestedMerge/EQ_is_prime2NEQ_LoopUnreach20/libA: not equiv,0.8237   ; unknown,0.0000   ; not equiv,0.1730   ; not equiv,0.0400  
./nestedMerge/EQ_is_prime2NEQ_getSign/libA: equiv,0.4418   ; unknown,0.0000   ; equiv,0.1590   ; equiv,0.0300  
./nestedMerge/EQ_is_prime3EQ_UnchLoop/libA: equiv,40.3826  ; unknown,0.0000   ; equiv,0.2436   ; unknown,0.0200  
./nestedMerge/EQ_is_prime3EQ_is_prime2/libA: equiv,6.7145   ; unknown,0.0000   ; equiv,0.7586   ; unknown,0.0200  
./nestedMerge/EQ_is_prime3EQ_odd/libA: timeout,300.0000 ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0200  
./nestedMerge/EQ_is_prime3EQ_pos/libA: equiv,22.4510  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0200  
./nestedMerge/EQ_is_prime3EQ_pos2/libA: equiv,0.6650   ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0200  
./nestedMerge/EQ_is_prime3EXTRA_ultra_prime_sum/libA: equiv,76.5119  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0200  
./nestedMerge/EQ_ltfiveBoundEQ_UnchLoop/libA: equiv,0.3274   ; unknown,0.0000   ; equiv,0.1688   ; equiv,0.8600  
./nestedMerge/EQ_ltfiveBoundEQ_is_prime2/libA: equiv,1.1123   ; unknown,0.0000   ; equiv,0.4656   ; unknown,0.0300  
./nestedMerge/EQ_ltfiveBoundEQ_odd/libA: equiv,1.9533   ; unknown,0.0000   ; equiv,1.5523   ; unknown,0.0200  
./nestedMerge/EQ_ltfiveBoundEQ_pos/libA: equiv,25.8331  ; unknown,0.0000   ; equiv,31.6627  ; unknown,0.0200  
./nestedMerge/EQ_ltfiveBoundEQ_pos2/libA: equiv,0.5602   ; unknown,0.0000   ; equiv,31.4224  ; not equiv,0.0800  
./nestedMerge/EQ_ltfiveBoundEXTRA_ultra_prime_sum/libA: equiv,141.7808 ; unknown,0.0000   ; equiv,164.1540 ; timeout,300.0000
./nestedMerge/EQ_ltfiveEQ_UnchLoop/libA: equiv,0.3088   ; unknown,0.0000   ; equiv,0.1462   ; equiv,0.8200  
./nestedMerge/EQ_ltfiveEQ_is_prime2/libA: equiv,6.7328   ; unknown,0.0000   ; equiv,1.5330   ; unknown,0.0300  
./nestedMerge/EQ_ltfiveEQ_odd/libA: equiv,23.2420  ; unknown,0.0000   ; equiv,38.8725  ; unknown,0.0200  
./nestedMerge/EQ_ltfiveEQ_pos/libA: equiv,28.6802  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0200  
./nestedMerge/EQ_ltfiveEQ_pos2/libA: equiv,0.5156   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0600  
./nestedMerge/EQ_ltfiveEXTRA_ultra_prime_sum/libA: equiv,141.8735 ; unknown,0.0000   ; timeout,300.0000 ; timeout,300.0000
./nestedMerge/EQ_multipleBoundEQ_UnchLoop/libA: equiv,40.3510  ; unknown,0.0000   ; equiv,0.1399   ; equiv,0.1000  
./nestedMerge/EQ_multipleBoundEQ_is_prime2/libA: equiv,0.5520   ; unknown,0.0000   ; equiv,0.1711   ; unknown,0.0200  
./nestedMerge/EQ_multipleBoundEQ_odd/libA: equiv,12.1449  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0100  
./nestedMerge/EQ_multipleBoundEQ_pos/libA: equiv,22.5510  ; unknown,0.0000   ; equiv,144.5702 ; unknown,0.0200  
./nestedMerge/EQ_multipleBoundEQ_pos2/libA: equiv,0.3618   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0500  
./nestedMerge/EQ_multipleBoundEXTRA_ultra_prime_sum/libA: equiv,75.3859  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.2400  
./nestedMerge/EQ_multipleEQ_UnchLoop/libA: equiv,40.3111  ; unknown,0.0000   ; equiv,0.1080   ; equiv,0.0900  
./nestedMerge/EQ_multipleEQ_is_prime2/libA: equiv,2.2444   ; unknown,0.0000   ; equiv,0.1542   ; unknown,0.0200  
