./mergedHard/EQ_UnchLoopEQ_pos2/libA: equiv,0.2178  , not equiv,0.0810  , unknown,0.0000  , equiv,0.1084  
./mergedHard/EQ_UnchLoopEQ_pos2/libB: equiv,12.9237 , not equiv,0.0240  , unknown,0.0000  , timeout,240.0000
./mergedHard/EQ_UnchLoopEXTRA_ultra_prime_sum/libA: equiv,120.8700, not equiv,0.0970  , unknown,0.0000  , timeout,240.0000
./mergedHard/EQ_UnchLoopEXTRA_ultra_prime_sum/libB: not equiv,44.4306 , not equiv,0.6550  , unknown,0.0000  , not equiv,0.1596  
./mergedHard/EQ_UnchLoopNEQ_LoopMult20/libA: equiv,0.4058  , not equiv,0.0940  , unknown,0.0000  , equiv,0.3304  
./mergedHard/EQ_UnchLoopNEQ_LoopMult20/libB: not equiv,0.6103  , not equiv,0.0730  , unknown,0.0000  , not equiv,0.1265  
./mergedHard/EQ_UnchLoopNEQ_LoopUnreach20/libA: equiv,0.4059  , not equiv,0.0930  , unknown,0.0000  , equiv,0.3282  
./mergedHard/EQ_UnchLoopNEQ_LoopUnreach20/libB: not equiv,0.3847  , not equiv,0.0550  , unknown,0.0000  , not equiv,0.1222  
./mergedHard/EQ_UnchLoopNEQ_getSign/libA: equiv,40.2572 , not equiv,0.0770  , unknown,0.0000  , timeout,240.0000
./mergedHard/EQ_UnchLoopNEQ_getSign/libB: not equiv,0.3620  , equiv,0.0100  , unknown,0.0000  , not equiv,0.1282  
./mergedHard/EQ_divideEQ_UnchLoop/libA: equiv,0.1712  , timeout,240.0000, unknown,0.0000  , equiv,0.1184  
./mergedHard/EQ_divideEQ_UnchLoop/libB: equiv,41.0825 , not equiv,0.1040  , unknown,0.0000  , timeout,240.0000
./mergedHard/EQ_divideEQ_is_prime2/libA: equiv,0.2545  , timeout,240.0000, unknown,0.0000  , equiv,0.1347  
./mergedHard/EQ_divideEQ_is_prime2/libB: equiv,1.4184  , unknown,0.0000  , unknown,0.0000  , equiv,1.2198  
./mergedHard/EQ_divideEQ_odd/libA: equiv,0.2736  , timeout,240.0000, unknown,0.0000  , equiv,0.1622  
./mergedHard/EQ_divideEQ_odd/libB: not equiv,1.7956  , not equiv,0.2970  , unknown,0.0000  , not equiv,1.4365  
./mergedHard/EQ_divideEQ_pos/libA: equiv,0.2818  , timeout,240.0000, unknown,0.0000  , equiv,0.1540  
./mergedHard/EQ_divideEQ_pos/libB: not equiv,0.6828  , not equiv,0.1100  , unknown,0.0000  , not equiv,0.3806  
./mergedHard/EQ_divideEQ_pos2/libA: equiv,0.2591  , timeout,240.0000, unknown,0.0000  , equiv,0.1508  
./mergedHard/EQ_divideEQ_pos2/libB: equiv,17.9844 , not equiv,0.1010  , unknown,0.0000  , timeout,240.0000
./mergedHard/EQ_divideEXTRA_ultra_prime_sum/libA: equiv,0.4886  , timeout,240.0000, unknown,0.0000  , equiv,0.1349  
./mergedHard/EQ_divideEXTRA_ultra_prime_sum/libB: not equiv,120.4448, not equiv,0.9370  , unknown,0.0000  , timeout,240.0000
./mergedHard/EQ_getSign2EQ_UnchLoop/libA: equiv,0.2112  , equiv,0.0230  , unknown,0.0000  , equiv,0.1239  
./mergedHard/EQ_getSign2EQ_UnchLoop/libB: timeout,240.0000, not equiv,0.0930  , unknown,0.0000  , timeout,240.0000
./mergedHard/EQ_getSign2EQ_is_prime2/libA: equiv,0.2935  , equiv,0.0660  , unknown,0.0000  , equiv,0.1763  
./mergedHard/EQ_getSign2EQ_is_prime2/libB: equiv,1.3082  , unknown,0.0000  , unknown,0.0000  , equiv,1.3205  
./mergedHard/EQ_getSign2EQ_odd/libA: not equiv,0.4731  , equiv,0.0510  , unknown,0.0000  , not equiv,0.1692  
./mergedHard/EQ_getSign2EQ_odd/libB: not equiv,3.3131  , not equiv,0.3580  , unknown,0.0000  , not equiv,3.2449  
./mergedHard/EQ_getSign2EQ_pos/libA: not equiv,0.5373  , not equiv,0.0450  , unknown,0.0000  , not equiv,0.1967  
./mergedHard/EQ_getSign2EQ_pos/libB: not equiv,0.5811  , not equiv,0.0710  , unknown,0.0000  , not equiv,0.2670  
./mergedHard/EQ_getSign2EQ_pos2/libA: not equiv,0.5159  , not equiv,0.0450  , unknown,0.0000  , not equiv,0.1971  
./mergedHard/EQ_getSign2EQ_pos2/libB: equiv,17.7490 , not equiv,0.0660  , unknown,0.0000  , timeout,240.0000
./mergedHard/EQ_getSign2EXTRA_ultra_prime_sum/libA: equiv,2.4249  , not equiv,0.0460  , unknown,0.0000  , not equiv,0.1521  
./mergedHard/EQ_getSign2EXTRA_ultra_prime_sum/libB: not equiv,120.2721, not equiv,0.7780  , unknown,0.0000  , timeout,240.0000
./mergedHard/EQ_is_prime1EQ_UnchLoop/libA: equiv,0.7157  , unknown,0.0000  , unknown,0.0000  , equiv,0.0808  
./mergedHard/EQ_is_prime1EQ_UnchLoop/libB: equiv,40.2580 , not equiv,0.0780  , unknown,0.0000  , timeout,240.0000
./mergedHard/EQ_is_prime1EQ_is_prime2/libA: equiv,0.7660  , unknown,0.0000  , unknown,0.0000  , equiv,0.5779  
./mergedHard/EQ_is_prime1EQ_is_prime2/libB: equiv,0.7372  , unknown,0.0000  , unknown,0.0000  , equiv,0.5765  
./mergedHard/EQ_is_prime1EQ_odd/libA: equiv,0.6930  , unknown,0.0010  , unknown,0.0000  , equiv,0.5905  
./mergedHard/EQ_is_prime1EQ_odd/libB: not equiv,2.4156  , not equiv,0.2190  , unknown,0.0000  , not equiv,0.6418  
./mergedHard/EQ_is_prime1EQ_pos/libA: equiv,1.3115  , unknown,0.0000  , unknown,0.0000  , equiv,1.1251  
./mergedHard/EQ_is_prime1EQ_pos/libB: not equiv,0.5991  , not equiv,0.0650  , unknown,0.0000  , not equiv,0.2661  
./mergedHard/EQ_is_prime1EQ_pos2/libA: equiv,1.3093  , unknown,0.0000  , unknown,0.0000  , equiv,1.1295  
./mergedHard/EQ_is_prime1EQ_pos2/libB: equiv,18.6114 , not equiv,0.0610  , unknown,0.0000  , timeout,240.0000
./mergedHard/EQ_is_prime1EXTRA_ultra_prime_sum/libA: equiv,2.0864  , unknown,0.0000  , unknown,0.0000  , timeout,240.0000
./mergedHard/EQ_is_prime1EXTRA_ultra_prime_sum/libB: not equiv,151.3767, not equiv,0.7490  , unknown,0.0000  , timeout,240.0000
./mergedHard/EQ_is_prime2EQ_Add/libA: equiv,0.7060  , unknown,0.0000  , unknown,0.0000  , equiv,0.5908  
./mergedHard/EQ_is_prime2EQ_Add/libB: equiv,0.1951  , equiv,0.0080  , unknown,0.0000  , equiv,0.0979  
./mergedHard/EQ_is_prime2EQ_Const/libA: equiv,0.6820  , unknown,0.0000  , unknown,0.0000  , equiv,0.5895  
./mergedHard/EQ_is_prime2EQ_Const/libB: equiv,0.1979  , equiv,0.0260  , unknown,0.0000  , equiv,0.0971  
./mergedHard/EQ_is_prime2EQ_LoopMult20/libA: equiv,0.9776  , unknown,0.0000  , unknown,0.0000  , equiv,0.9832  
./mergedHard/EQ_is_prime2EQ_LoopMult20/libB: equiv,12.1314 , not equiv,0.0970  , unknown,0.0000  , not equiv,0.1653  
./mergedHard/EQ_is_prime2EQ_LoopUnreach20/libA: equiv,0.9853  , unknown,0.0000  , unknown,0.0000  , equiv,0.9808  
./mergedHard/EQ_is_prime2EQ_LoopUnreach20/libB: equiv,0.3078  , not equiv,0.0650  , unknown,0.0000  , not equiv,0.1565  
./mergedHard/EQ_is_prime2EQ_UnchLoop/libA: equiv,0.6873  , unknown,0.0000  , unknown,0.0000  , equiv,0.5895  
./mergedHard/EQ_is_prime2EQ_UnchLoop/libB: timeout,240.0000, not equiv,0.0800  , unknown,0.0000  , timeout,240.0000
./mergedHard/EQ_is_prime2EQ_divide/libA: equiv,1.3038  , unknown,0.0000  , unknown,0.0000  , equiv,1.2525  
./mergedHard/EQ_is_prime2EQ_divide/libB: equiv,0.2642  , timeout,240.0000, unknown,0.0000  , equiv,0.1337  
./mergedHard/EQ_is_prime2EQ_getSign2/libA: equiv,1.2630  , unknown,0.0000  , unknown,0.0000  , equiv,1.2491  
./mergedHard/EQ_is_prime2EQ_getSign2/libB: equiv,0.3047  , equiv,0.0650  , unknown,0.0000  , equiv,0.1767  
./mergedHard/EQ_is_prime2EQ_is_prime1/libA: equiv,0.6904  , unknown,0.0000  , unknown,0.0000  , equiv,0.5870  
./mergedHard/EQ_is_prime2EQ_is_prime1/libB: equiv,0.6815  , unknown,0.0010  , unknown,0.0000  , equiv,0.5897  
