./mergedHard/EQ_getSign2EQ_pos/libB: not equiv,0.6166  , not equiv,0.7008  , not equiv,0.9627  , not equiv,0.2018  
./mergedHard/EQ_getSign2EQ_pos2/libA: not equiv,0.5509  , not equiv,0.6677  , not equiv,0.8894  , not equiv,0.1736  
./mergedHard/EQ_getSign2EQ_pos2/libB: equiv,37.6568 , equiv,0.3276  , equiv,38.0707 , timeout,300.0000
./mergedHard/EQ_getSign2EXTRA_prime_sum/libA: equiv,2.0173  , equiv,2.2988  , equiv,2.1648  , timeout,300.0000
./mergedHard/EQ_getSign2EXTRA_prime_sum/libB: not equiv,45.6924 , not equiv,9.1919  , not equiv,45.8819 , timeout,300.0000
./mergedHard/EQ_is_prime1EQ_UnchLoop/libA: equiv,0.7930  , equiv,0.2240  , equiv,0.9367  , equiv,0.0997  
./mergedHard/EQ_is_prime1EQ_UnchLoop/libB: equiv,30.3385 , equiv,0.1962  , equiv,30.6801 , timeout,300.0000
./mergedHard/EQ_is_prime1EQ_is_prime2/libA: equiv,0.8299  , equiv,0.3044  , equiv,1.0036  , timeout,300.0000
./mergedHard/EQ_is_prime1EQ_is_prime2/libB: equiv,0.8828  , equiv,0.3098  , equiv,1.0495  , timeout,300.0000
./mergedHard/EQ_is_prime1EQ_odd/libA: equiv,0.7774  , equiv,0.2902  , equiv,0.9827  , timeout,300.0000
./mergedHard/EQ_is_prime1EQ_odd/libB: not equiv,2.5091  , not equiv,0.9263  , not equiv,3.6361  , not equiv,0.3677  
./mergedHard/EQ_is_prime1EQ_pos/libA: equiv,0.9767  , equiv,0.3099  , equiv,1.2897  , timeout,300.0000
./mergedHard/EQ_is_prime1EQ_pos/libB: not equiv,0.5889  , not equiv,0.6626  , not equiv,0.9443  , not equiv,0.2037  
./mergedHard/EQ_is_prime1EQ_pos2/libA: equiv,0.9600  , equiv,0.3077  , equiv,1.3070  , timeout,300.0000
./mergedHard/EQ_is_prime1EQ_pos2/libB: equiv,38.2715 , equiv,0.3600  , equiv,38.6559 , timeout,300.0000
./mergedHard/EQ_is_prime1EXTRA_prime_sum/libA: equiv,1.4804  , equiv,0.4600  , equiv,1.1112  , timeout,300.0000
./mergedHard/EQ_is_prime1EXTRA_prime_sum/libB: not equiv,79.8056 , not equiv,10.7428 , not equiv,49.4131 , not equiv,48.3693 
./mergedHard/EQ_is_prime2EQ_Add/libA: equiv,0.8958  , equiv,0.2987  , equiv,1.1145  , timeout,300.0000
./mergedHard/EQ_is_prime2EQ_Add/libB: equiv,0.2421  , equiv,0.2689  , equiv,0.3280  , equiv,0.1116  
./mergedHard/EQ_is_prime2EQ_Const/libA: equiv,0.8711  , equiv,0.3007  , equiv,1.1185  , timeout,300.0000
./mergedHard/EQ_is_prime2EQ_Const/libB: equiv,0.2442  , equiv,0.2696  , equiv,0.4079  , equiv,0.1088  
./mergedHard/EQ_is_prime2EQ_LoopMult20/libA: equiv,0.9345  , equiv,0.3357  , equiv,1.1644  , timeout,300.0000
./mergedHard/EQ_is_prime2EQ_LoopMult20/libB: equiv,172.1849, timeout,300.0000, equiv,2.8376  , not equiv,0.1605  
./mergedHard/EQ_is_prime2EQ_LoopUnreach20/libA: equiv,0.9340  , equiv,0.3445  , equiv,1.1990  , timeout,300.0000
./mergedHard/EQ_is_prime2EQ_LoopUnreach20/libB: equiv,0.3147  , equiv,0.3185  , equiv,0.3871  , not equiv,0.1546  
./mergedHard/EQ_is_prime2EQ_UnchLoop/libA: equiv,0.8687  , equiv,0.3020  , equiv,1.1221  , timeout,300.0000
./mergedHard/EQ_is_prime2EQ_UnchLoop/libB: timeout,300.0000, timeout,300.0000, timeout,300.0000, timeout,300.0000
./mergedHard/EQ_is_prime2EQ_divide/libA: equiv,1.1318  , equiv,0.3520  , equiv,1.3102  , timeout,300.0000
./mergedHard/EQ_is_prime2EQ_divide/libB: equiv,0.2875  , equiv,0.3083  , equiv,0.4604  , equiv,0.1308  
./mergedHard/EQ_is_prime2EQ_getSign2/libA: equiv,1.0913  , equiv,0.3377  , equiv,1.3302  , timeout,300.0000
./mergedHard/EQ_is_prime2EQ_getSign2/libB: equiv,0.3018  , equiv,0.2855  , equiv,0.4580  , equiv,0.1608  
./mergedHard/EQ_is_prime2EQ_is_prime1/libA: equiv,0.8901  , equiv,0.3105  , equiv,1.0996  , timeout,300.0000
./mergedHard/EQ_is_prime2EQ_is_prime1/libB: equiv,0.8063  , equiv,0.3051  , equiv,0.9932  , timeout,300.0000
./mergedHard/EQ_is_prime2EQ_is_prime2/libA: equiv,1.1329  , equiv,0.3830  , equiv,1.3111  , timeout,300.0000
./mergedHard/EQ_is_prime2EQ_is_prime2/libB: equiv,1.1324  , equiv,0.3722  , equiv,1.3249  , timeout,300.0000
./mergedHard/EQ_is_prime2EQ_ltfive/libA: equiv,1.4506  , equiv,0.4257  , equiv,1.7134  , timeout,300.0000
./mergedHard/EQ_is_prime2EQ_ltfive/libB: not equiv,0.6590  , equiv,0.3702  , not equiv,1.0331  , not equiv,0.1865  
./mergedHard/EQ_is_prime2EQ_ltfiveBound/libA: equiv,1.1494  , equiv,0.4637  , equiv,1.3718  , timeout,300.0000
./mergedHard/EQ_is_prime2EQ_ltfiveBound/libB: equiv,0.4196  , equiv,0.3945  , equiv,0.6170  , not equiv,0.1689  
./mergedHard/EQ_is_prime2EQ_multiple/libA: equiv,1.3336  , equiv,0.3573  , equiv,1.5609  , timeout,300.0000
./mergedHard/EQ_is_prime2EQ_multiple/libB: not equiv,0.8145  , not equiv,0.7181  , not equiv,1.1515  , not equiv,0.2529  
./mergedHard/EQ_is_prime2EQ_multipleBound/libA: equiv,0.9906  , equiv,0.4083  , equiv,1.2455  , timeout,300.0000
./mergedHard/EQ_is_prime2EQ_multipleBound/libB: not equiv,0.7997  , not equiv,0.8141  , not equiv,1.1171  , not equiv,0.3112  
./mergedHard/EQ_is_prime2EQ_odd/libA: equiv,1.1447  , equiv,0.3465  , equiv,1.4073  , timeout,300.0000
./mergedHard/EQ_is_prime2EQ_odd/libB: not equiv,0.6839  , not equiv,0.7700  , not equiv,0.9891  , not equiv,0.3208  
./mergedHard/EQ_is_prime2EQ_one/libA: equiv,1.1931  , equiv,0.4638  , equiv,1.4300  , timeout,300.0000
./mergedHard/EQ_is_prime2EQ_one/libB: not equiv,0.5988  , not equiv,0.6896  , not equiv,0.9365  , not equiv,0.1703  
./mergedHard/EQ_is_prime2EQ_oneBound/libA: equiv,1.0467  , equiv,0.4894  , equiv,1.2355  , timeout,300.0000
./mergedHard/EQ_is_prime2EQ_oneBound/libB: equiv,0.4362  , equiv,0.3546  , equiv,0.6297  , not equiv,0.1752  
./mergedHard/EQ_is_prime2EQ_oneN2/libA: equiv,1.1746  , equiv,0.4464  , equiv,1.3717  , timeout,300.0000
./mergedHard/EQ_is_prime2EQ_oneN2/libB: not equiv,0.6184  , equiv,0.3180  , not equiv,0.9970  , not equiv,0.1713  
./mergedHard/EQ_is_prime2EQ_pos/libA: equiv,1.2379  , equiv,0.3935  , equiv,1.4937  , timeout,300.0000
./mergedHard/EQ_is_prime2EQ_pos/libB: not equiv,0.6214  , not equiv,0.7092  , not equiv,0.9729  , not equiv,0.2183  
./mergedHard/EQ_is_prime2EQ_pos2/libA: equiv,1.2573  , equiv,0.3962  , equiv,1.4673  , timeout,300.0000
./mergedHard/EQ_is_prime2EQ_pos2/libB: equiv,36.7221 , equiv,0.3299  , equiv,37.0973 , timeout,300.0000
./mergedHard/EQ_is_prime2EXTRA_prime_sum/libA: equiv,2.2789  , equiv,0.7229  , equiv,1.3485  , timeout,300.0000
./mergedHard/EQ_is_prime2EXTRA_prime_sum/libB: not equiv,5.2259  , not equiv,2.5640  , not equiv,7.8262  , timeout,300.0000
./mergedHard/EQ_is_prime2NEQ_LoopMult20/libA: equiv,0.9880  , equiv,0.3342  , equiv,1.1874  , timeout,300.0000
./mergedHard/EQ_is_prime2NEQ_LoopMult20/libB: not equiv,0.6561  , not equiv,0.7085  , not equiv,1.0364  , not equiv,0.1427  
./mergedHard/EQ_is_prime2NEQ_LoopUnreach20/libA: equiv,0.9318  , equiv,0.3460  , equiv,1.1899  , timeout,300.0000
./mergedHard/EQ_is_prime2NEQ_LoopUnreach20/libB: not equiv,0.5673  , not equiv,0.6892  , not equiv,0.9022  , not equiv,0.1428  
./mergedHard/EQ_is_prime2NEQ_getSign/libA: equiv,1.0727  , equiv,0.3331  , equiv,1.2936  , timeout,300.0000
./mergedHard/EQ_is_prime2NEQ_getSign/libB: not equiv,0.5387  , not equiv,0.6284  , not equiv,0.8967  , not equiv,0.1637  
./mergedHard/EQ_ltfiveBoundEQ_UnchLoop/libA: equiv,0.3193  , equiv,0.3333  , equiv,0.4840  , equiv,0.1518  
./mergedHard/EQ_ltfiveBoundEQ_UnchLoop/libB: timeout,300.0000, timeout,300.0000, timeout,300.0000, equiv,19.4459 
./mergedHard/EQ_ltfiveBoundEQ_is_prime2/libA: equiv,0.4255  , equiv,0.4138  , equiv,0.5649  , not equiv,0.1695  
./mergedHard/EQ_ltfiveBoundEQ_is_prime2/libB: equiv,0.8108  , equiv,0.4795  , equiv,1.0564  , timeout,300.0000
./mergedHard/EQ_ltfiveBoundEQ_odd/libA: not equiv,0.6789  , not equiv,0.7849  , not equiv,1.0328  , not equiv,0.1796  
./mergedHard/EQ_ltfiveBoundEQ_odd/libB: not equiv,1.4913  , not equiv,1.7238  , not equiv,1.9348  , timeout,300.0000
./mergedHard/EQ_ltfiveBoundEQ_pos/libA: not equiv,0.7198  , not equiv,0.8240  , not equiv,0.9965  , not equiv,0.1742  
./mergedHard/EQ_ltfiveBoundEQ_pos/libB: not equiv,1.2145  , not equiv,0.8944  , not equiv,1.6205  , not equiv,0.4950  
./mergedHard/EQ_ltfiveBoundEQ_pos2/libA: not equiv,0.6835  , not equiv,0.8135  , not equiv,1.0189  , not equiv,0.1796  
./mergedHard/EQ_ltfiveBoundEQ_pos2/libB: equiv,44.6850 , equiv,0.5032  , equiv,44.9784 , timeout,300.0000
./mergedHard/EQ_ltfiveBoundEXTRA_prime_sum/libA: equiv,11.4240 , equiv,4.8117  , equiv,11.1652 , timeout,300.0000
./mergedHard/EQ_ltfiveBoundEXTRA_prime_sum/libB: not equiv,59.7776 , not equiv,26.1615 , not equiv,68.5078 , not equiv,91.8763 
./mergedHard/EQ_ltfiveEQ_UnchLoop/libA: not equiv,0.5661  , equiv,0.3008  , not equiv,0.8958  , not equiv,0.1607  
./mergedHard/EQ_ltfiveEQ_UnchLoop/libB: timeout,300.0000, timeout,300.0000, timeout,300.0000, timeout,300.0000
./mergedHard/EQ_ltfiveEQ_is_prime2/libA: not equiv,0.8424  , equiv,0.5358  , not equiv,0.9959  , not equiv,0.1901  
./mergedHard/EQ_ltfiveEQ_is_prime2/libB: equiv,1.9840  , equiv,0.4346  , equiv,2.2534  , timeout,300.0000
./mergedHard/EQ_ltfiveEQ_odd/libA: not equiv,0.6575  , not equiv,0.7244  , not equiv,0.9276  , not equiv,0.2178  
./mergedHard/EQ_ltfiveEQ_odd/libB: not equiv,2.1352  , not equiv,2.1191  , not equiv,2.5591  , not equiv,7.4584  
./mergedHard/EQ_ltfiveEQ_pos/libA: not equiv,0.6767  , not equiv,0.7829  , not equiv,1.0498  , not equiv,0.1941  
./mergedHard/EQ_ltfiveEQ_pos/libB: not equiv,0.7877  , not equiv,0.8130  , not equiv,1.1286  , not equiv,0.3398  
./mergedHard/EQ_ltfiveEQ_pos2/libA: not equiv,0.6668  , not equiv,0.7564  , not equiv,0.9771  , not equiv,0.1927  
./mergedHard/EQ_ltfiveEQ_pos2/libB: equiv,44.6230 , equiv,0.4048  , equiv,45.1536 , timeout,300.0000
./mergedHard/EQ_ltfiveEXTRA_prime_sum/libA: not equiv,1.1385  , equiv,4.6225  , not equiv,1.8080  , not equiv,0.1785  
./mergedHard/EQ_ltfiveEXTRA_prime_sum/libB: not equiv,47.6424 , not equiv,13.7592 , not equiv,52.5872 , timeout,300.0000
./mergedHard/EQ_multipleBoundEQ_UnchLoop/libA: not equiv,0.6632  , not equiv,0.8779  , not equiv,0.9758  , not equiv,0.1994  
./mergedHard/EQ_multipleBoundEQ_UnchLoop/libB: timeout,300.0000, timeout,300.0000, timeout,300.0000, timeout,300.0000
./mergedHard/EQ_multipleBoundEQ_is_prime2/libA: not equiv,0.7462  , not equiv,0.7399  , not equiv,1.0966  , not equiv,0.2345  
