./mergedHard/EQ_UnchLoopEQ_getSign2/libA CC2-Hybrid: equiv    ,0.3200   (Solve) ,,0.099  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: equiv    ,0.6200  
./mergedHard/EQ_UnchLoopEQ_is_prime1/libA CC2-Hybrid: equiv    ,0.3000   (Solve) ,,0.098  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: equiv    ,0.1600  
./mergedHard/EQ_UnchLoopEQ_is_prime2/libA CC2-Hybrid: equiv    ,0.3500   (Solve) ,,0.097  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: equiv    ,3.5000  
./mergedHard/EQ_UnchLoopEQ_is_prime3/libA CC2-Hybrid: equiv    ,0.5600   (Solve) ,,0.198  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: unknown  ,0.0300  
./mergedHard/EQ_UnchLoopEQ_ltfive/libA CC2-Hybrid: equiv    ,0.4100   (Solve) ,,0.099  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: timeout  ,300.0000
./mergedHard/EQ_UnchLoopEQ_ltfiveBound/libA CC2-Hybrid: equiv    ,0.4200   (Solve) ,,0.102  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,23.9500 	llReve: timeout  ,300.0000
./mergedHard/EQ_UnchLoopEQ_multiple/libA CC2-Hybrid: equiv    ,0.3300   (Solve) ,,0.099  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: timeout  ,300.0000
./mergedHard/EQ_UnchLoopEQ_multipleBound/libA CC2-Hybrid: equiv    ,0.3600   (Solve) ,,0.098  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: timeout  ,300.0000
./mergedHard/EQ_UnchLoopEQ_odd/libA CC2-Hybrid: equiv    ,0.3300   (Solve) ,,0.099  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: timeout  ,300.0000
./mergedHard/EQ_UnchLoopEQ_one/libA CC2-Hybrid: equiv    ,0.3600   (Solve) ,,0.097  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: timeout  ,300.0000
./mergedHard/EQ_UnchLoopEQ_oneBound/libA CC2-Hybrid: equiv    ,0.3800   (Solve) ,,0.099  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,3.5500  	llReve: timeout  ,300.0000
./mergedHard/EQ_UnchLoopEQ_oneN2/libA CC2-Hybrid: equiv    ,0.3600   (Solve) ,,0.099  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: timeout  ,300.0000
./mergedHard/EQ_UnchLoopEQ_pos/libA CC2-Hybrid: equiv    ,0.3700   (Solve) ,,0.099  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.2500  	llReve: equiv    ,0.2700  
./mergedHard/EQ_UnchLoopEQ_pos2/libA CC2-Hybrid: equiv    ,0.3600   (Solve) ,,0.100  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.2200  	llReve: equiv    ,0.2800  
./mergedHard/EQ_UnchLoopEQ_pos3/libA CC2-Hybrid: equiv    ,0.3200   (Solve) ,,0.097  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.2300  	llReve: equiv    ,0.3600  
./mergedHard/EQ_UnchLoopEXTRA_ultra_prime_sum/libA CC2-Hybrid: equiv    ,40.7500  (Solve) ,,40.343 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: timeout  ,300.0000
./mergedHard/EQ_UnchLoopNEQ_LoopMult20/libA CC2-Hybrid: equiv    ,0.3300   (Solve) ,,0.098  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.4700  	llReve: equiv    ,2.5400  
./mergedHard/EQ_UnchLoopNEQ_LoopUnreach20/libA CC2-Hybrid: equiv    ,0.3300   (Solve) ,,0.097  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.4600  	llReve: equiv    ,2.5300  
./mergedHard/EQ_UnchLoopNEQ_getSign/libA CC2-Hybrid: equiv    ,0.3100   (Solve) ,,0.098  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: equiv    ,0.2400  
./mergedHard/EQ_divideEQ_LoopMult20/libA CC2-Hybrid: equiv    ,0.3300   (Solve) ,,0.081  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.2600  	llReve: equiv    ,0.0400  
./mergedHard/EQ_divideEQ_UnchLoop/libA CC2-Hybrid: equiv    ,0.3000   (Solve) ,,0.079  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.2300  	llReve: equiv    ,0.0200  
