./nestedMerge/EQ_divideEQ_UnchLoop/libA: equiv,40.4600  ; unknown,0.0000   ; equiv,0.2500   ; equiv,0.1400  
./nestedMerge/EQ_divideEQ_odd/libA: equiv,12.6300  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0300  
./nestedMerge/EQ_divideEQ_pos/libA: equiv,22.4800  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0100  
./nestedMerge/EQ_divideEQ_pos2/libA: equiv,0.4700   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0500  
./nestedMerge/EQ_divideEXTRA_ultra_prime_sum/libA: equiv,75.9700  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.2700  
./nestedMerge/EQ_getSign2EQ_LoopMult20/libA: equiv,1.9900   ; unknown,0.0000   ; equiv,0.5300   ; equiv,24.5400 
./nestedMerge/EQ_getSign2EQ_UnchLoop/libA: equiv,40.4400  ; unknown,0.0000   ; equiv,0.2500   ; equiv,0.1400  
./nestedMerge/EQ_getSign2EQ_odd/libA: equiv,11.2500  ; unknown,0.0000   ; equiv,15.0200  ; unknown,0.0100  
./nestedMerge/EQ_getSign2EQ_pos/libA: equiv,22.0700  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0100  
./nestedMerge/EQ_getSign2EQ_pos2/libA: equiv,0.4200   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0400  
./nestedMerge/EQ_getSign2EXTRA_ultra_prime_sum/libA: equiv,82.1300  ; unknown,0.0000   ; timeout,300.0000 ; unknown,1.5900  
./nestedMerge/EQ_is_prime1EQ_LoopMult20/libA: equiv,1.9100   ; unknown,0.0000   ; equiv,0.5200   ; equiv,6.5900  
./nestedMerge/EQ_is_prime1EQ_UnchLoop/libA: equiv,40.4500  ; unknown,0.0000   ; equiv,0.2300   ; equiv,0.1300  
./nestedMerge/EQ_is_prime1EQ_odd/libA: equiv,12.5700  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0100  
./nestedMerge/EQ_is_prime1EQ_pos/libA: equiv,11.4300  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0100  
./nestedMerge/EQ_is_prime1EQ_pos2/libA: equiv,0.4100   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0300  
./nestedMerge/EQ_is_prime1EXTRA_ultra_prime_sum/libA: equiv,81.9000  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.1700  
./nestedMerge/EQ_is_prime2EQ_LoopMult20/libA: equiv,0.9200   ; unknown,0.0000   ; equiv,0.5200   ; equiv,10.1800 
./nestedMerge/EQ_is_prime2EQ_UnchLoop/libA: equiv,0.4300   ; unknown,0.0000   ; equiv,0.2800   ; equiv,0.2400  
./nestedMerge/EQ_is_prime2EQ_odd/libA: equiv,23.3300  ; unknown,0.0000   ; equiv,14.2100  ; unknown,0.0200  
./nestedMerge/EQ_is_prime2EQ_pos/libA: equiv,23.1900  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0200  
./nestedMerge/EQ_is_prime2EQ_pos2/libA: equiv,0.6200   ; unknown,0.0000   ; timeout,300.0000 ; not equiv,0.0500  
./nestedMerge/EQ_is_prime2EXTRA_ultra_prime_sum/libA: equiv,140.6700 ; unknown,0.0000   ; timeout,300.0000 ; timeout,300.0000
./nestedMerge/EQ_is_prime3EQ_LoopMult20/libA: equiv,2.1200   ; unknown,0.0000   ; equiv,0.6100   ; unknown,0.0200  
./nestedMerge/EQ_is_prime3EQ_UnchLoop/libA: equiv,40.4800  ; unknown,0.0000   ; equiv,0.3300   ; unknown,0.0400  
./nestedMerge/EQ_is_prime3EQ_odd/libA: timeout,300.0000 ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0200  
./nestedMerge/EQ_is_prime3EQ_pos/libA: equiv,21.9700  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0200  
./nestedMerge/EQ_is_prime3EQ_pos2/libA: equiv,0.8000   ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0200  
./nestedMerge/EQ_is_prime3EXTRA_ultra_prime_sum/libA: equiv,76.1200  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0200  
./nestedMerge/EQ_ltfiveBoundEQ_LoopMult20/libA: equiv,1.2700   ; unknown,0.0000   ; equiv,0.8200   ; timeout,300.0000
./nestedMerge/EQ_ltfiveBoundEQ_UnchLoop/libA: equiv,0.4600   ; unknown,0.0000   ; equiv,0.3000   ; equiv,0.8500  
./nestedMerge/EQ_ltfiveBoundEQ_odd/libA: equiv,2.0900   ; unknown,0.0000   ; equiv,1.6600   ; unknown,0.0200  
./nestedMerge/EQ_ltfiveBoundEQ_pos/libA: equiv,26.7000  ; unknown,0.0000   ; equiv,31.3200  ; unknown,0.0200  
./nestedMerge/EQ_ltfiveBoundEQ_pos2/libA: equiv,0.6900   ; unknown,0.0000   ; equiv,31.3700  ; not equiv,0.0700  
./nestedMerge/EQ_ltfiveBoundEXTRA_ultra_prime_sum/libA: equiv,140.7800 ; unknown,0.0000   ; equiv,160.8700 ; timeout,300.0000
./nestedMerge/EQ_ltfiveEQ_LoopMult20/libA: equiv,1.3100   ; unknown,0.0000   ; equiv,0.8800   ; equiv,123.9900
./nestedMerge/EQ_ltfiveEQ_UnchLoop/libA: equiv,0.4400   ; unknown,0.0000   ; equiv,0.2800   ; equiv,0.8300  
./nestedMerge/EQ_ltfiveEQ_odd/libA: equiv,23.3300  ; unknown,0.0000   ; equiv,39.2800  ; unknown,0.0100  
./nestedMerge/EQ_ltfiveEQ_pos/libA: equiv,28.3500  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0200  
