./mergedHard/EQ_getSign2EQ_odd/libA: not equiv,0.6900   ; unknown,0.0000   ; not equiv,0.2900   ; not equiv,0.0200  
./mergedHard/EQ_getSign2EQ_pos/libA: not equiv,0.7500   ; unknown,0.0000   ; not equiv,0.3100   ; not equiv,0.0300  
./mergedHard/EQ_getSign2EQ_pos2/libA: not equiv,0.7500   ; unknown,0.0000   ; not equiv,0.3100   ; not equiv,0.0300  
./mergedHard/EQ_getSign2EXTRA_ultra_prime_sum/libA: not equiv,2.5000   ; unknown,0.0000   ; not equiv,0.2700   ; not equiv,0.0500  
./mergedHard/EQ_is_prime1EQ_LoopMult20/libA: not equiv,1.1500   ; unknown,0.0000   ; not equiv,0.4800   ; unknown,0.0200  
./mergedHard/EQ_is_prime1EQ_UnchLoop/libA: not equiv,0.6100   ; unknown,0.0000   ; not equiv,0.2100   ; unknown,0.0200  
./mergedHard/EQ_is_prime1EQ_odd/libA: not equiv,1.2400   ; unknown,0.0000   ; not equiv,0.7600   ; unknown,0.1100  
./mergedHard/EQ_is_prime1EQ_pos/libA: equiv,1.8000   ; unknown,0.0000   ; equiv,1.4600   ; unknown,0.0200  
./mergedHard/EQ_is_prime1EQ_pos2/libA: equiv,1.7600   ; unknown,0.0000   ; equiv,1.4600   ; unknown,0.0200  
./mergedHard/EQ_is_prime1EXTRA_ultra_prime_sum/libA: not equiv,15.7500  ; unknown,0.0000   ; not equiv,0.4800   ; unknown,0.0200  
./mergedHard/EQ_is_prime2EQ_LoopMult20/libA: not equiv,1.7700   ; unknown,0.0000   ; not equiv,1.0300   ; unknown,0.0200  
./mergedHard/EQ_is_prime2EQ_UnchLoop/libA: not equiv,1.2300   ; unknown,0.0000   ; not equiv,0.7400   ; unknown,0.0300  
./mergedHard/EQ_is_prime2EQ_odd/libA: not equiv,1.9100   ; unknown,0.0000   ; not equiv,1.3200   ; unknown,0.0200  
./mergedHard/EQ_is_prime2EQ_pos/libA: not equiv,9.7000   ; unknown,0.0000   ; not equiv,8.5900   ; unknown,0.0200  
./mergedHard/EQ_is_prime2EQ_pos2/libA: not equiv,9.6300   ; unknown,0.0000   ; not equiv,8.5500   ; unknown,0.0200  
./mergedHard/EQ_is_prime2EXTRA_ultra_prime_sum/libA: not equiv,6.3300   ; unknown,0.0000   ; not equiv,0.9200   ; unknown,0.0200  
./mergedHard/EQ_is_prime3EQ_LoopMult20/libA: not equiv,5.4300   ; unknown,0.0000   ; not equiv,0.5700   ; unknown,0.0400  
./mergedHard/EQ_is_prime3EQ_UnchLoop/libA: not equiv,2.3900   ; unknown,0.0000   ; not equiv,0.2900   ; unknown,0.0200  
./mergedHard/EQ_is_prime3EQ_odd/libA: not equiv,4.5400   ; unknown,0.0000   ; not equiv,0.8400   ; unknown,0.0200  
./mergedHard/EQ_is_prime3EQ_pos/libA: equiv,17.9800  ; unknown,0.0000   ; equiv,2.6000   ; unknown,0.0200  
./mergedHard/EQ_is_prime3EQ_pos2/libA: equiv,17.5100  ; unknown,0.0000   ; equiv,2.6200   ; unknown,0.0200  
./mergedHard/EQ_is_prime3EXTRA_ultra_prime_sum/libA: not equiv,7.3300   ; unknown,0.0000   ; not equiv,1.1500   ; unknown,0.0200  
./mergedHard/EQ_ltfiveBoundEQ_LoopMult20/libA: equiv,0.6400   ; unknown,0.0000   ; equiv,0.3200   ; equiv,0.0500  
./mergedHard/EQ_ltfiveBoundEQ_UnchLoop/libA: equiv,0.5400   ; unknown,0.0000   ; equiv,0.2800   ; equiv,0.0300  
./mergedHard/EQ_ltfiveBoundEQ_odd/libA: not equiv,0.8300   ; unknown,0.0000   ; not equiv,0.3200   ; not equiv,0.0400  
./mergedHard/EQ_ltfiveBoundEQ_pos/libA: not equiv,0.9200   ; unknown,0.0000   ; not equiv,0.3200   ; not equiv,0.0800  
./mergedHard/EQ_ltfiveBoundEQ_pos2/libA: not equiv,0.8700   ; unknown,0.0000   ; not equiv,0.3100   ; not equiv,0.0800  
./mergedHard/EQ_ltfiveBoundEXTRA_ultra_prime_sum/libA: not equiv,2.4300   ; unknown,0.0000   ; not equiv,0.3000   ; not equiv,0.0400  
./mergedHard/EQ_ltfiveEQ_LoopMult20/libA: not equiv,0.9900   ; unknown,0.0000   ; not equiv,0.3200   ; equiv,0.0300  
./mergedHard/EQ_ltfiveEQ_UnchLoop/libA: not equiv,0.9000   ; unknown,0.0000   ; not equiv,0.2800   ; equiv,0.0200  
./mergedHard/EQ_ltfiveEQ_odd/libA: not equiv,0.8200   ; unknown,0.0000   ; not equiv,0.3400   ; not equiv,0.0300  
./mergedHard/EQ_ltfiveEQ_pos/libA: not equiv,0.8600   ; unknown,0.0000   ; not equiv,0.3400   ; not equiv,0.0400  
./mergedHard/EQ_ltfiveEQ_pos2/libA: not equiv,0.8700   ; unknown,0.0000   ; not equiv,0.3300   ; not equiv,0.0400  
./mergedHard/EQ_ltfiveEXTRA_ultra_prime_sum/libA: not equiv,2.1800   ; unknown,0.0000   ; not equiv,0.3300   ; not equiv,0.0300  
./mergedHard/EQ_multipleBoundEQ_LoopMult20/libA: not equiv,0.9000   ; unknown,0.0000   ; not equiv,0.3600   ; not equiv,0.0300  
./mergedHard/EQ_multipleBoundEQ_UnchLoop/libA: not equiv,0.8000   ; unknown,0.0000   ; not equiv,0.3300   ; not equiv,0.0400  
./mergedHard/EQ_multipleBoundEQ_odd/libA: not equiv,1.1000   ; unknown,0.0000   ; not equiv,0.4500   ; not equiv,0.0300  
./mergedHard/EQ_multipleBoundEQ_pos/libA: not equiv,1.0000   ; unknown,0.0000   ; not equiv,0.5700   ; not equiv,0.0400  
./mergedHard/EQ_multipleBoundEQ_pos2/libA: not equiv,1.0500   ; unknown,0.0000   ; not equiv,0.5600   ; not equiv,0.0400  
./mergedHard/EQ_multipleBoundEXTRA_ultra_prime_sum/libA: equiv,42.7700  ; unknown,0.0000   ; timeout,300.0000 ; equiv,0.0800  
./mergedHard/EQ_multipleEQ_LoopMult20/libA: not equiv,0.9400   ; unknown,0.0000   ; not equiv,0.3700   ; not equiv,0.0300  
./mergedHard/EQ_multipleEQ_UnchLoop/libA: not equiv,0.7600   ; unknown,0.0000   ; not equiv,0.3300   ; not equiv,0.0300  
./mergedHard/EQ_multipleEQ_odd/libA: not equiv,1.1100   ; unknown,0.0000   ; not equiv,0.4800   ; not equiv,0.0200  
./mergedHard/EQ_multipleEQ_pos/libA: not equiv,0.9600   ; unknown,0.0000   ; not equiv,0.4100   ; not equiv,0.0200  
./mergedHard/EQ_multipleEQ_pos2/libA: not equiv,0.9700   ; unknown,0.0000   ; not equiv,0.4100   ; not equiv,0.0200  
./mergedHard/EQ_multipleEXTRA_ultra_prime_sum/libA: not equiv,1.2400   ; unknown,0.0000   ; not equiv,0.3700   ; equiv,0.0400  
./mergedHard/EQ_oddEQ_Add/libA: equiv,11.8500  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0100  
./mergedHard/EQ_oddEQ_Const/libA: equiv,11.8000  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0700  
./mergedHard/EQ_oddEQ_LoopMult20/libA: not equiv,1.4700   ; unknown,0.0000   ; not equiv,0.6000   ; unknown,0.0100  
./mergedHard/EQ_oddEQ_LoopUnreach20/libA: not equiv,1.1900   ; unknown,0.0000   ; not equiv,0.6000   ; unknown,0.0100  
./mergedHard/EQ_oddEQ_UnchLoop/libA: equiv,11.7600  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0200  
./mergedHard/EQ_oddEQ_divide/libA: not equiv,1.5800   ; unknown,0.0000   ; not equiv,1.0600   ; unknown,0.0100  
./mergedHard/EQ_oddEQ_getSign2/libA: not equiv,1.4500   ; unknown,0.0000   ; not equiv,0.9000   ; unknown,0.0100  
./mergedHard/EQ_oddEQ_is_prime1/libA: not equiv,1.1700   ; unknown,0.0000   ; not equiv,0.7400   ; unknown,0.0300  
./mergedHard/EQ_oddEQ_is_prime2/libA: not equiv,1.0800   ; unknown,0.0000   ; not equiv,0.5700   ; unknown,0.0100  
./mergedHard/EQ_oddEQ_is_prime3/libA: not equiv,18.8400  ; unknown,0.0000   ; not equiv,15.3700  ; unknown,0.0400  
./mergedHard/EQ_oddEQ_ltfive/libA: not equiv,3.9200   ; unknown,0.0000   ; not equiv,3.2100   ; unknown,0.0200  
./mergedHard/EQ_oddEQ_ltfiveBound/libA: not equiv,3.0900   ; unknown,0.0000   ; not equiv,2.3600   ; unknown,0.0200  
./mergedHard/EQ_oddEQ_multiple/libA: equiv,13.0700  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0400  
./mergedHard/EQ_oddEQ_multipleBound/libA: equiv,13.7200  ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0400  
./mergedHard/EQ_oddEQ_odd/libA: timeout,300.0000 ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0300  
./mergedHard/EQ_oddEQ_one/libA: not equiv,2.6800   ; unknown,0.0000   ; not equiv,1.5500   ; unknown,0.0100  
./mergedHard/EQ_oddEQ_oneBound/libA: not equiv,1.8700   ; unknown,0.0000   ; not equiv,1.0900   ; unknown,0.0200  
./mergedHard/EQ_oddEQ_oneN2/libA: not equiv,2.0200   ; unknown,0.0000   ; not equiv,1.3100   ; unknown,0.0100  
./mergedHard/EQ_oddEQ_pos/libA: not equiv,1.4800   ; unknown,0.0000   ; not equiv,0.9100   ; unknown,0.0200  
./mergedHard/EQ_oddEQ_pos2/libA: not equiv,1.4700   ; unknown,0.0000   ; not equiv,0.9100   ; unknown,0.0100  
./mergedHard/EQ_oddEQ_pos3/libA: not equiv,1.4500   ; unknown,0.0000   ; not equiv,0.9900   ; unknown,0.0300  
./mergedHard/EQ_oddEXTRA_ultra_prime_sum/libA: timeout,300.0000 ; unknown,0.0000   ; timeout,300.0000 ; unknown,0.0400  
./mergedHard/EQ_oddNEQ_LoopMult20/libA: not equiv,1.4400   ; unknown,0.0000   ; not equiv,0.8500   ; unknown,0.0200  
./mergedHard/EQ_oddNEQ_LoopUnreach20/libA: not equiv,1.6200   ; unknown,0.0000   ; not equiv,0.7000   ; unknown,0.0100  
./mergedHard/EQ_oddNEQ_getSign/libA: not equiv,1.1200   ; unknown,0.0000   ; not equiv,0.7300   ; unknown,0.0100  
./mergedHard/EQ_oneBoundEQ_LoopMult20/libA: equiv,0.5800   ; unknown,0.0000   ; equiv,0.3300   ; equiv,0.0900  
./mergedHard/EQ_oneBoundEQ_UnchLoop/libA: not equiv,0.6800   ; unknown,0.0000   ; not equiv,0.2700   ; not equiv,0.0600  
./mergedHard/EQ_oneBoundEQ_odd/libA: not equiv,0.8300   ; unknown,0.0000   ; not equiv,0.3200   ; not equiv,0.0300  
./mergedHard/EQ_oneBoundEQ_pos/libA: not equiv,0.8100   ; unknown,0.0000   ; not equiv,0.3100   ; not equiv,0.0500  
./mergedHard/EQ_oneBoundEQ_pos2/libA: not equiv,0.8100   ; unknown,0.0000   ; not equiv,0.3100   ; not equiv,0.0600  
./mergedHard/EQ_oneBoundEXTRA_ultra_prime_sum/libA: not equiv,2.3700   ; unknown,0.0000   ; not equiv,0.2900   ; not equiv,0.0300  
./mergedHard/EQ_oneEQ_LoopMult20/libA: not equiv,0.9200   ; unknown,0.0000   ; not equiv,0.3000   ; not equiv,0.0500  
./mergedHard/EQ_oneEQ_UnchLoop/libA: not equiv,0.6700   ; unknown,0.0000   ; not equiv,0.2700   ; not equiv,0.0400  
./mergedHard/EQ_oneEQ_odd/libA: not equiv,0.7600   ; unknown,0.0000   ; not equiv,0.2900   ; not equiv,0.0200  
./mergedHard/EQ_oneEQ_pos/libA: not equiv,0.7900   ; unknown,0.0000   ; not equiv,0.3000   ; not equiv,0.0300  
./mergedHard/EQ_oneEQ_pos2/libA: not equiv,0.8000   ; unknown,0.0000   ; not equiv,0.3000   ; not equiv,0.0300  
./mergedHard/EQ_oneEXTRA_ultra_prime_sum/libA: not equiv,2.1100   ; unknown,0.0000   ; not equiv,0.3100   ; not equiv,0.0300  
./mergedHard/EQ_oneN2EQ_LoopMult20/libA: not equiv,0.7800   ; unknown,0.0000   ; not equiv,0.3100   ; equiv,0.0300  
./mergedHard/EQ_oneN2EQ_UnchLoop/libA: not equiv,0.6600   ; unknown,0.0000   ; not equiv,0.2700   ; not equiv,0.0200  
./mergedHard/EQ_oneN2EQ_odd/libA: not equiv,0.8200   ; unknown,0.0000   ; not equiv,0.3400   ; not equiv,0.0400  
./mergedHard/EQ_oneN2EQ_pos/libA: not equiv,0.8400   ; unknown,0.0000   ; not equiv,0.3200   ; not equiv,0.0300  
./mergedHard/EQ_oneN2EQ_pos2/libA: not equiv,0.8300   ; unknown,0.0000   ; not equiv,0.3200   ; not equiv,0.0300  
