./mergedHard/EQ_UnchLoopEQ_pos2/libB: equiv,12.8959  ; unknown,0.0000   ; timeout,300.0000
./mergedHard/EQ_UnchLoopEQ_pos3/libA: equiv,0.2074   ; unknown,0.0000   ; equiv,0.1099  
./mergedHard/EQ_UnchLoopEQ_pos3/libB: equiv,10.6598  ; unknown,0.0000   ; timeout,300.0000
./mergedHard/EQ_UnchLoopEXTRA_ultra_prime_sum/libA: equiv,120.8569 ; unknown,0.0000   ; timeout,300.0000
./mergedHard/EQ_UnchLoopEXTRA_ultra_prime_sum/libB: not equiv,44.6337  ; unknown,0.0000   ; not equiv,0.1376  
./mergedHard/EQ_UnchLoopNEQ_LoopMult20/libA: equiv,0.4066   ; unknown,0.0000   ; equiv,0.3334  
./mergedHard/EQ_UnchLoopNEQ_LoopMult20/libB: not equiv,0.6139   ; unknown,0.0000   ; not equiv,0.1306  
./mergedHard/EQ_UnchLoopNEQ_LoopUnreach20/libA: equiv,0.4086   ; unknown,0.0000   ; equiv,0.3327  
./mergedHard/EQ_UnchLoopNEQ_LoopUnreach20/libB: not equiv,0.3872   ; unknown,0.0000   ; not equiv,0.1255  
./mergedHard/EQ_UnchLoopNEQ_getSign/libA: equiv,40.2532  ; unknown,0.0000   ; timeout,300.0000
./mergedHard/EQ_UnchLoopNEQ_getSign/libB: not equiv,0.3558   ; unknown,0.0000   ; not equiv,0.1303  
./mergedHard/EQ_divideEQ_UnchLoop/libA: equiv,0.1750   ; unknown,0.0000   ; equiv,0.1001  
./mergedHard/EQ_divideEQ_UnchLoop/libB: equiv,41.5468  ; unknown,0.0000   ; timeout,300.0000
./mergedHard/EQ_divideEQ_is_prime2/libA: equiv,0.2670   ; unknown,0.0000   ; equiv,0.1140  
./mergedHard/EQ_divideEQ_is_prime2/libB: not equiv,1.6884   ; unknown,0.0000   ; not equiv,1.2198  
./mergedHard/EQ_divideEQ_odd/libA: equiv,0.2612   ; unknown,0.0000   ; equiv,0.1452  
./mergedHard/EQ_divideEQ_odd/libB: not equiv,1.8166   ; unknown,0.0000   ; not equiv,1.7087  
./mergedHard/EQ_divideEQ_pos/libA: equiv,0.2812   ; unknown,0.0000   ; equiv,0.1337  
./mergedHard/EQ_divideEQ_pos/libB: not equiv,0.6851   ; unknown,0.0000   ; not equiv,0.3828  
./mergedHard/EQ_divideEQ_pos2/libA: equiv,0.2612   ; unknown,0.0000   ; equiv,0.1346  
./mergedHard/EQ_divideEQ_pos2/libB: equiv,17.8765  ; unknown,0.0000   ; timeout,300.0000
./mergedHard/EQ_divideEXTRA_ultra_prime_sum/libA: equiv,0.4922   ; unknown,0.0000   ; equiv,0.1145  
./mergedHard/EQ_divideEXTRA_ultra_prime_sum/libB: not equiv,120.4104 ; unknown,0.0000   ; timeout,300.0000
./mergedHard/EQ_getSign2EQ_UnchLoop/libA: equiv,0.2149   ; unknown,0.0000   ; equiv,0.1275  
./mergedHard/EQ_getSign2EQ_UnchLoop/libB: timeout,300.0000 ; unknown,0.0000   ; timeout,300.0000
./mergedHard/EQ_getSign2EQ_is_prime2/libA: equiv,0.3041   ; unknown,0.0000   ; equiv,0.1814  
./mergedHard/EQ_getSign2EQ_is_prime2/libB: not equiv,1.8007   ; unknown,0.0000   ; not equiv,1.2961  
./mergedHard/EQ_getSign2EQ_odd/libA: not equiv,0.4863   ; unknown,0.0000   ; not equiv,0.1728  
./mergedHard/EQ_getSign2EQ_odd/libB: not equiv,3.3389   ; unknown,0.0000   ; not equiv,4.1551  
./mergedHard/EQ_getSign2EQ_pos/libA: not equiv,0.5468   ; unknown,0.0000   ; not equiv,0.2001  
./mergedHard/EQ_getSign2EQ_pos/libB: not equiv,0.5822   ; unknown,0.0000   ; not equiv,0.2701  
./mergedHard/EQ_getSign2EQ_pos2/libA: not equiv,0.5262   ; unknown,0.0000   ; not equiv,0.1990  
./mergedHard/EQ_getSign2EQ_pos2/libB: equiv,17.6877  ; unknown,0.0000   ; timeout,300.0000
./mergedHard/EQ_getSign2EXTRA_ultra_prime_sum/libA: not equiv,2.3675   ; unknown,0.0000   ; not equiv,0.1543  
./mergedHard/EQ_getSign2EXTRA_ultra_prime_sum/libB: not equiv,132.0530 ; unknown,0.0000   ; timeout,300.0000
./mergedHard/EQ_is_prime1EQ_UnchLoop/libA: not equiv,2.3446   ; unknown,0.0000   ; not equiv,0.0980  
./mergedHard/EQ_is_prime1EQ_UnchLoop/libB: equiv,40.2573  ; unknown,0.0000   ; timeout,300.0000
./mergedHard/EQ_is_prime1EQ_is_prime2/libA: not equiv,1.2489   ; unknown,0.0000   ; not equiv,0.6631  
./mergedHard/EQ_is_prime1EQ_is_prime2/libB: not equiv,1.2244   ; unknown,0.0000   ; not equiv,0.6587  
./mergedHard/EQ_is_prime1EQ_odd/libA: not equiv,0.9346   ; unknown,0.0000   ; not equiv,0.6150  
./mergedHard/EQ_is_prime1EQ_odd/libB: not equiv,2.8625   ; unknown,0.0000   ; not equiv,0.6416  
./mergedHard/EQ_is_prime1EQ_pos/libA: equiv,1.4155   ; unknown,0.0000   ; equiv,1.2791  
./mergedHard/EQ_is_prime1EQ_pos/libB: not equiv,0.5965   ; unknown,0.0000   ; not equiv,0.2686  
./mergedHard/EQ_is_prime1EQ_pos2/libA: equiv,1.4216   ; unknown,0.0000   ; equiv,1.2822  
./mergedHard/EQ_is_prime1EQ_pos2/libB: equiv,18.5765  ; unknown,0.0000   ; timeout,300.0000
./mergedHard/EQ_is_prime1EXTRA_ultra_prime_sum/libA: equiv,18.1452  ; unknown,0.0000   ; not equiv,0.3750  
./mergedHard/EQ_is_prime1EXTRA_ultra_prime_sum/libB: not equiv,163.1807 ; unknown,0.0000   ; timeout,300.0000
./mergedHard/EQ_is_prime2EQ_Add/libA: not equiv,0.8975   ; unknown,0.0000   ; not equiv,0.5914  
./mergedHard/EQ_is_prime2EQ_Add/libB: equiv,0.1956   ; unknown,0.0000   ; equiv,0.1007  
./mergedHard/EQ_is_prime2EQ_Const/libA: not equiv,0.8769   ; unknown,0.0000   ; not equiv,0.5885  
./mergedHard/EQ_is_prime2EQ_Const/libB: equiv,0.2001   ; unknown,0.0000   ; equiv,0.0997  
./mergedHard/EQ_is_prime2EQ_LoopMult20/libA: not equiv,1.4311   ; unknown,0.0000   ; not equiv,0.9645  
./mergedHard/EQ_is_prime2EQ_LoopMult20/libB: timeout,300.0000 ; unknown,0.0000   ; not equiv,0.1706  
./mergedHard/EQ_is_prime2EQ_LoopUnreach20/libA: not equiv,1.4255   ; unknown,0.0000   ; not equiv,0.9638  
./mergedHard/EQ_is_prime2EQ_LoopUnreach20/libB: equiv,0.2983   ; unknown,0.0000   ; not equiv,0.1582  
./mergedHard/EQ_is_prime2EQ_UnchLoop/libA: not equiv,0.8776   ; unknown,0.0000   ; not equiv,0.5939  
./mergedHard/EQ_is_prime2EQ_UnchLoop/libB: timeout,300.0000 ; unknown,0.0000   ; timeout,300.0000
./mergedHard/EQ_is_prime2EQ_divide/libA: not equiv,1.5647   ; unknown,0.0000   ; not equiv,1.1491  
./mergedHard/EQ_is_prime2EQ_divide/libB: equiv,0.2653   ; unknown,0.0000   ; equiv,0.1145  
./mergedHard/EQ_is_prime2EQ_getSign2/libA: not equiv,1.5397   ; unknown,0.0000   ; not equiv,1.1680  
./mergedHard/EQ_is_prime2EQ_getSign2/libB: equiv,0.3127   ; unknown,0.0000   ; equiv,0.1777  
./mergedHard/EQ_is_prime2EQ_is_prime1/libA: not equiv,1.1726   ; unknown,0.0000   ; not equiv,0.6694  
./mergedHard/EQ_is_prime2EQ_is_prime1/libB: not equiv,1.1649   ; unknown,0.0000   ; not equiv,0.6656  
./mergedHard/EQ_is_prime2EQ_is_prime2/libA: not equiv,1.8385   ; unknown,0.0000   ; not equiv,1.3084  
./mergedHard/EQ_is_prime2EQ_is_prime2/libB: not equiv,1.8738   ; unknown,0.0000   ; not equiv,1.3112  
./mergedHard/EQ_is_prime2EQ_is_prime3/libA: not equiv,4.3646   ; unknown,0.0000   ; not equiv,1.4519  
./mergedHard/EQ_is_prime2EQ_is_prime3/libB: not equiv,4.3553   ; unknown,0.0000   ; not equiv,1.4564  
./mergedHard/EQ_is_prime2EQ_ltfive/libA: not equiv,3.9912   ; unknown,0.0000   ; not equiv,3.3732  
./mergedHard/EQ_is_prime2EQ_ltfive/libB: not equiv,0.6446   ; unknown,0.0000   ; not equiv,0.2179  
./mergedHard/EQ_is_prime2EQ_ltfiveBound/libA: not equiv,1.6619   ; unknown,0.0000   ; not equiv,1.1588  
./mergedHard/EQ_is_prime2EQ_ltfiveBound/libB: equiv,0.4281   ; unknown,0.0000   ; not equiv,0.1953  
./mergedHard/EQ_is_prime2EQ_multiple/libA: timeout,300.0000 ; unknown,0.0000   ; not equiv,0.6389  
./mergedHard/EQ_is_prime2EQ_multiple/libB: not equiv,0.7438   ; unknown,0.0000   ; not equiv,0.2968  
./mergedHard/EQ_is_prime2EQ_multipleBound/libA: not equiv,1.3146   ; unknown,0.0000   ; not equiv,0.8873  
