./mergedHard/EQ_is_prime2NEQ_LoopUnreach20/libA: not equiv,1.6202   ; unknown,0.0000   ; not equiv,0.9442   ; unknown,0.0200  
./mergedHard/EQ_is_prime2NEQ_getSign/libA: not equiv,1.7083   ; unknown,0.0000   ; not equiv,1.1293   ; unknown,0.0200  
./mergedHard/EQ_is_prime3EQ_UnchLoop/libA: not equiv,2.5778   ; unknown,0.0000   ; not equiv,0.1936   ; unknown,0.0200  
./mergedHard/EQ_is_prime3EQ_is_prime2/libA: not equiv,8.6668   ; unknown,0.0000   ; not equiv,1.1268   ; unknown,0.0200  
./mergedHard/EQ_is_prime3EQ_odd/libA: not equiv,4.5833   ; unknown,0.0000   ; not equiv,0.7208   ; unknown,0.0200  
./mergedHard/EQ_is_prime3EQ_pos/libA: equiv,22.5304  ; unknown,0.0000   ; equiv,2.4573   ; unknown,0.0200  
./mergedHard/EQ_is_prime3EQ_pos2/libA: equiv,22.7987  ; unknown,0.0000   ; equiv,2.4477   ; unknown,0.0200  
./mergedHard/EQ_is_prime3EXTRA_ultra_prime_sum/libA: not equiv,7.1972   ; unknown,0.0000   ; not equiv,1.0122   ; unknown,0.0200  
./mergedHard/EQ_ltfiveBoundEQ_UnchLoop/libA: equiv,0.4675   ; unknown,0.0000   ; equiv,0.1732   ; equiv,0.0300  
./mergedHard/EQ_ltfiveBoundEQ_is_prime2/libA: equiv,0.5242   ; unknown,0.0000   ; equiv,0.2071   ; equiv,0.0400  
./mergedHard/EQ_ltfiveBoundEQ_odd/libA: not equiv,0.7191   ; unknown,0.0000   ; not equiv,0.2100   ; not equiv,0.0400  
./mergedHard/EQ_ltfiveBoundEQ_pos/libA: not equiv,0.7746   ; unknown,0.0000   ; not equiv,0.2120   ; not equiv,0.0800  
./mergedHard/EQ_ltfiveBoundEQ_pos2/libA: not equiv,0.7715   ; unknown,0.0000   ; not equiv,0.2076   ; not equiv,0.0800  
./mergedHard/EQ_ltfiveBoundEXTRA_ultra_prime_sum/libA: not equiv,3.6930   ; unknown,0.0000   ; not equiv,0.1912   ; not equiv,0.0400  
./mergedHard/EQ_ltfiveEQ_UnchLoop/libA: not equiv,0.8040   ; unknown,0.0000   ; not equiv,0.1801   ; equiv,0.0200  
./mergedHard/EQ_ltfiveEQ_is_prime2/libA: not equiv,0.8037   ; unknown,0.0000   ; not equiv,0.2160   ; equiv,0.0300  
./mergedHard/EQ_ltfiveEQ_odd/libA: not equiv,0.7276   ; unknown,0.0000   ; not equiv,0.2346   ; not equiv,0.0300  
