./nestedMerge/EQ_UnchLoopEQ_ltfiveBound/libA CC2-Hybrid: equiv    ,0.5700   (Solve) ,,0.216  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.2100  	llReve: equiv    ,0.0300  
./nestedMerge/EQ_UnchLoopEQ_multiple/libA CC2-Hybrid: equiv    ,0.9200   (Solve) ,,0.238  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.2100  	llReve: equiv    ,0.0200  
./nestedMerge/EQ_UnchLoopEQ_multipleBound/libA CC2-Hybrid: equiv    ,0.9400   (Solve) ,,0.239  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.2100  	llReve: equiv    ,0.0200  
./nestedMerge/EQ_UnchLoopEQ_odd/libA CC2-Hybrid: equiv    ,0.9500   (Solve) ,,0.260  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.2100  	llReve: unknown  ,0.0100  
./nestedMerge/EQ_UnchLoopEQ_one/libA CC2-Hybrid: not equiv ,0.7400   (Solve) ,,0.319  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: not equiv ,0.2100  	llReve: not equiv ,0.0200  
./nestedMerge/EQ_UnchLoopEQ_oneBound/libA CC2-Hybrid: equiv    ,0.5500   (Solve) ,,0.232  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.2100  	llReve: equiv    ,0.0200  
./nestedMerge/EQ_UnchLoopEQ_oneN2/libA CC2-Hybrid: equiv    ,1.1900   (Solve) ,,0.464  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.2200  	llReve: equiv    ,0.0300  
./nestedMerge/EQ_UnchLoopEQ_pos/libA CC2-Hybrid: equiv    ,11.2900  (Solve) ,,10.977 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.2400  	llReve: unknown  ,0.0100  
./nestedMerge/EQ_UnchLoopEQ_pos2/libA CC2-Hybrid: equiv    ,0.4100   (Solve) ,,0.125  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.2300  	llReve: not equiv ,0.0300  
./nestedMerge/EQ_UnchLoopEQ_pos3/libA CC2-Hybrid: equiv    ,0.9700   (Solve) ,,0.221  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.2300  	llReve: equiv    ,0.0200  
./nestedMerge/EQ_UnchLoopEXTRA_ultra_prime_sum/libA CC2-Hybrid: equiv    ,78.2500  (Solve) ,,76.794 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.2400  	llReve: timeout  ,300.0000
./nestedMerge/EQ_UnchLoopNEQ_LoopMult20/libA CC2-Hybrid: equiv    ,1.1800   (Solve) ,,0.289  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.2300  	llReve: equiv    ,0.0300  
./nestedMerge/EQ_UnchLoopNEQ_LoopUnreach20/libA CC2-Hybrid: equiv    ,1.0700   (Solve) ,,0.196  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.2300  	llReve: equiv    ,0.0200  
./nestedMerge/EQ_UnchLoopNEQ_getSign/libA CC2-Hybrid: equiv    ,1.0700   (Solve) ,,0.232  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.2400  	llReve: equiv    ,0.0200  
./nestedMerge/EQ_divideEQ_LoopMult20/libA CC2-Hybrid: equiv    ,1.9500   (Solve) ,,1.054  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.5200  	llReve: equiv    ,7.3700  
./nestedMerge/EQ_divideEQ_UnchLoop/libA CC2-Hybrid: equiv    ,40.4600  (Solve) ,,40.154 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.2500  	llReve: equiv    ,0.1400  
./nestedMerge/EQ_divideEQ_odd/libA  CC2-Hybrid: equiv    ,12.6300  (Solve) ,,11.894 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: unknown  ,0.0300  
./nestedMerge/EQ_divideEQ_pos/libA  CC2-Hybrid: equiv    ,22.4800  (Solve) ,,21.450 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: unknown  ,0.0100  
./nestedMerge/EQ_divideEQ_pos2/libA CC2-Hybrid: equiv    ,0.4700   (Solve) ,,0.141  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: not equiv ,0.0500  
./nestedMerge/EQ_divideEXTRA_ultra_prime_sum/libA CC2-Hybrid: equiv    ,75.9700  (Solve) ,,74.170 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: unknown  ,0.2700  
./nestedMerge/EQ_getSign2EQ_LoopMult20/libA CC2-Hybrid: equiv    ,1.9900   (Solve) ,,1.060  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.5300  	llReve: equiv    ,24.5400 
./nestedMerge/EQ_getSign2EQ_UnchLoop/libA CC2-Hybrid: equiv    ,40.4400  (Solve) ,,40.129 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.2500  	llReve: equiv    ,0.1400  
./nestedMerge/EQ_getSign2EQ_odd/libA CC2-Hybrid: equiv    ,11.2500  (Solve) ,,10.538 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,15.0200 	llReve: unknown  ,0.0100  
./nestedMerge/EQ_getSign2EQ_pos/libA CC2-Hybrid: equiv    ,22.0700  (Solve) ,,21.216 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: unknown  ,0.0100  
./nestedMerge/EQ_getSign2EQ_pos2/libA CC2-Hybrid: equiv    ,0.4200   (Solve) ,,0.114  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: not equiv ,0.0400  
./nestedMerge/EQ_getSign2EXTRA_ultra_prime_sum/libA CC2-Hybrid: equiv    ,82.1300  (Solve) ,,80.330 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: unknown  ,1.5900  
./nestedMerge/EQ_is_prime1EQ_LoopMult20/libA CC2-Hybrid: equiv    ,1.9100   (Solve) ,,1.014  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.5200  	llReve: equiv    ,6.5900  
./nestedMerge/EQ_is_prime1EQ_UnchLoop/libA CC2-Hybrid: equiv    ,40.4500  (Solve) ,,40.150 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.2300  	llReve: equiv    ,0.1300  
./nestedMerge/EQ_is_prime1EQ_odd/libA CC2-Hybrid: equiv    ,12.5700  (Solve) ,,11.859 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: unknown  ,0.0100  
./nestedMerge/EQ_is_prime1EQ_pos/libA CC2-Hybrid: equiv    ,11.4300  (Solve) ,,11.058 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: unknown  ,0.0100  
./nestedMerge/EQ_is_prime1EQ_pos2/libA CC2-Hybrid: equiv    ,0.4100   (Solve) ,,0.141  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: not equiv ,0.0300  
./nestedMerge/EQ_is_prime1EXTRA_ultra_prime_sum/libA CC2-Hybrid: equiv    ,81.9000  (Solve) ,,80.198 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: unknown  ,0.1700  
./nestedMerge/EQ_is_prime2EQ_LoopMult20/libA CC2-Hybrid: equiv    ,0.9200   (Solve) ,,0.466  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.5200  	llReve: equiv    ,10.1800 
./nestedMerge/EQ_is_prime2EQ_UnchLoop/libA CC2-Hybrid: equiv    ,0.4300   (Solve) ,,0.139  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,0.2800  	llReve: equiv    ,0.2400  
./nestedMerge/EQ_is_prime2EQ_odd/libA CC2-Hybrid: equiv    ,23.3300  (Solve) ,,22.194 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: equiv    ,14.2100 	llReve: unknown  ,0.0200  
./nestedMerge/EQ_is_prime2EQ_pos/libA CC2-Hybrid: equiv    ,23.1900  (Solve) ,,21.923 	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: unknown  ,0.0200  
./nestedMerge/EQ_is_prime2EQ_pos2/libA CC2-Hybrid: equiv    ,0.6200   (Solve) ,,0.137  	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: not equiv ,0.0500  
./nestedMerge/EQ_is_prime2EXTRA_ultra_prime_sum/libA CC2-Hybrid: equiv    ,140.6700 (Solve) ,,137.218	CC2-Concurrent: unknown  ,0.0000   (Solve) ,,0.000  	KleeCLEVER: timeout  ,300.0000	llReve: timeout  ,300.0000
