./mergedHard_CallMerge/EQ_UnchLoopNEQ_LoopMult20/libA: equiv,0.4558   ; unknown,0.0000   ; equiv,0.2512  
./mergedHard_CallMerge/EQ_UnchLoopNEQ_LoopMult20/libB: equiv,0.5186   ; unknown,0.0000   ; equiv,0.3158  
./mergedHard_CallMerge/EQ_UnchLoopNEQ_LoopUnreach20/libA: equiv,0.4122   ; unknown,0.0000   ; equiv,0.2607  
./mergedHard_CallMerge/EQ_UnchLoopNEQ_LoopUnreach20/libB: equiv,0.4121   ; unknown,0.0000   ; equiv,0.2793  
./mergedHard_CallMerge/EQ_UnchLoopNEQ_getSign/libA: equiv,0.5907   ; unknown,0.0000   ; equiv,0.3439  
./mergedHard_CallMerge/EQ_UnchLoopNEQ_getSign/libB: equiv,0.2295   ; unknown,0.0000   ; equiv,0.1637  
./mergedHard_CallMerge/EQ_divideEQ_UnchLoop/libA: equiv,0.2600   ; unknown,0.0000   ; equiv,0.1562  
./mergedHard_CallMerge/EQ_divideEQ_UnchLoop/libB: equiv,43.4850  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EQ_divideEQ_is_prime2/libA: equiv,0.2918   ; unknown,0.0000   ; equiv,0.1467  
./mergedHard_CallMerge/EQ_divideEQ_is_prime2/libB: equiv,2.3216   ; unknown,0.0000   ; equiv,0.7239  
./mergedHard_CallMerge/EQ_divideEQ_odd/libA: equiv,0.2802   ; unknown,0.0000   ; equiv,0.1848  
./mergedHard_CallMerge/EQ_divideEQ_odd/libB: not equiv,2.7054   ; unknown,0.0000   ; not equiv,0.8813  
./mergedHard_CallMerge/EQ_divideEQ_pos/libA: equiv,0.3377   ; unknown,0.0000   ; equiv,0.1846  
./mergedHard_CallMerge/EQ_divideEQ_pos/libB: not equiv,0.5935   ; unknown,0.0000   ; not equiv,0.2028  
./mergedHard_CallMerge/EQ_divideEQ_pos2/libA: equiv,0.3115   ; unknown,0.0000   ; equiv,0.1816  
./mergedHard_CallMerge/EQ_divideEQ_pos2/libB: equiv,19.6712  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EQ_divideEXTRA_ultra_prime_sum/libA: equiv,0.5435   ; unknown,0.0000   ; equiv,0.1479  
./mergedHard_CallMerge/EQ_divideEXTRA_ultra_prime_sum/libB: not equiv,67.4490  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EQ_getSign2EQ_UnchLoop/libA: equiv,0.2241   ; unknown,0.0000   ; equiv,0.1411  
./mergedHard_CallMerge/EQ_getSign2EQ_UnchLoop/libB: timeout,300.0000 ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EQ_getSign2EQ_is_prime2/libA: equiv,0.3291   ; unknown,0.0000   ; equiv,0.1831  
./mergedHard_CallMerge/EQ_getSign2EQ_is_prime2/libB: equiv,3.6048   ; unknown,0.0000   ; equiv,1.4033  
./mergedHard_CallMerge/EQ_getSign2EQ_odd/libA: not equiv,0.5135   ; unknown,0.0000   ; not equiv,0.1784  
./mergedHard_CallMerge/EQ_getSign2EQ_odd/libB: not equiv,2.3272   ; unknown,0.0000   ; not equiv,2.3184  
./mergedHard_CallMerge/EQ_getSign2EQ_pos/libA: not equiv,0.5760   ; unknown,0.0000   ; not equiv,0.1781  
./mergedHard_CallMerge/EQ_getSign2EQ_pos/libB: not equiv,0.5666   ; unknown,0.0000   ; not equiv,0.2100  
./mergedHard_CallMerge/EQ_getSign2EQ_pos2/libA: not equiv,0.5599   ; unknown,0.0000   ; not equiv,0.1757  
./mergedHard_CallMerge/EQ_getSign2EQ_pos2/libB: equiv,19.3098  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EQ_getSign2EXTRA_ultra_prime_sum/libA: equiv,2.7589   ; unknown,0.0000   ; not equiv,0.1608  
./mergedHard_CallMerge/EQ_getSign2EXTRA_ultra_prime_sum/libB: not equiv,82.4489  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EQ_is_prime1EQ_UnchLoop/libA: not equiv,1.3213   ; unknown,0.0000   ; not equiv,0.1099  
./mergedHard_CallMerge/EQ_is_prime1EQ_UnchLoop/libB: equiv,40.2259  ; unknown,0.0000   ; equiv,0.1071  
./mergedHard_CallMerge/EQ_is_prime1EQ_is_prime2/libA: equiv,0.2329   ; unknown,0.0000   ; equiv,0.1026  
./mergedHard_CallMerge/EQ_is_prime1EQ_is_prime2/libB: equiv,0.2362   ; unknown,0.0000   ; equiv,0.1002  
./mergedHard_CallMerge/EQ_is_prime1EQ_odd/libA: equiv,0.2086   ; unknown,0.0000   ; equiv,0.1004  
./mergedHard_CallMerge/EQ_is_prime1EQ_odd/libB: not equiv,0.7533   ; unknown,0.0000   ; not equiv,0.6032  
./mergedHard_CallMerge/EQ_is_prime1EQ_pos/libA: equiv,0.2368   ; unknown,0.0000   ; equiv,0.1007  
./mergedHard_CallMerge/EQ_is_prime1EQ_pos/libB: timeout,300.0000 ; unknown,0.0000   ; not equiv,0.2023  
./mergedHard_CallMerge/EQ_is_prime1EQ_pos2/libA: equiv,0.2312   ; unknown,0.0000   ; equiv,0.0983  
./mergedHard_CallMerge/EQ_is_prime1EQ_pos2/libB: timeout,300.0000 ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EQ_is_prime1EXTRA_ultra_prime_sum/libA: equiv,1.7072   ; unknown,0.0000   ; equiv,0.0989  
./mergedHard_CallMerge/EQ_is_prime1EXTRA_ultra_prime_sum/libB: timeout,300.0000 ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EQ_is_prime2EQ_Add/libA: not equiv,0.9228   ; unknown,0.0000   ; not equiv,0.6023  
./mergedHard_CallMerge/EQ_is_prime2EQ_Add/libB: equiv,0.2080   ; unknown,0.0000   ; equiv,0.1144  
./mergedHard_CallMerge/EQ_is_prime2EQ_Const/libA: not equiv,0.9012   ; unknown,0.0000   ; not equiv,0.6001  
./mergedHard_CallMerge/EQ_is_prime2EQ_Const/libB: equiv,0.2067   ; unknown,0.0000   ; equiv,0.1140  
./mergedHard_CallMerge/EQ_is_prime2EQ_LoopMult20/libA: equiv,11.9505  ; unknown,0.0000   ; equiv,0.6987  
./mergedHard_CallMerge/EQ_is_prime2EQ_LoopMult20/libB: equiv,14.4456  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EQ_is_prime2EQ_LoopUnreach20/libA: equiv,11.9761  ; unknown,0.0000   ; equiv,0.7207  
./mergedHard_CallMerge/EQ_is_prime2EQ_LoopUnreach20/libB: equiv,0.2638   ; unknown,0.0000   ; equiv,0.1502  
./mergedHard_CallMerge/EQ_is_prime2EQ_UnchLoop/libA: not equiv,0.9129   ; unknown,0.0000   ; not equiv,0.6041  
./mergedHard_CallMerge/EQ_is_prime2EQ_UnchLoop/libB: timeout,300.0000 ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EQ_is_prime2EQ_divide/libA: not equiv,1.4105   ; unknown,0.0000   ; not equiv,0.6860  
./mergedHard_CallMerge/EQ_is_prime2EQ_divide/libB: equiv,0.2583   ; unknown,0.0000   ; equiv,0.1283  
./mergedHard_CallMerge/EQ_is_prime2EQ_getSign2/libA: not equiv,1.4799   ; unknown,0.0000   ; not equiv,0.8397  
./mergedHard_CallMerge/EQ_is_prime2EQ_getSign2/libB: equiv,0.2821   ; unknown,0.0000   ; equiv,0.1564  
./mergedHard_CallMerge/EQ_is_prime2EQ_is_prime1/libA: equiv,12.0677  ; unknown,0.0000   ; equiv,0.6344  
./mergedHard_CallMerge/EQ_is_prime2EQ_is_prime1/libB: equiv,12.0663  ; unknown,0.0000   ; equiv,0.6308  
./mergedHard_CallMerge/EQ_is_prime2EQ_is_prime2/libA: equiv,12.0085  ; unknown,0.0000   ; equiv,0.7073  
./mergedHard_CallMerge/EQ_is_prime2EQ_is_prime2/libB: equiv,12.0062  ; unknown,0.0000   ; equiv,0.7105  
./mergedHard_CallMerge/EQ_is_prime2EQ_is_prime3/libA: not equiv,4.1276   ; unknown,0.0000   ; not equiv,0.7688  
./mergedHard_CallMerge/EQ_is_prime2EQ_is_prime3/libB: not equiv,4.1302   ; unknown,0.0000   ; not equiv,0.7591  
./mergedHard_CallMerge/EQ_is_prime2EQ_ltfive/libA: equiv,4.7134   ; unknown,0.0000   ; equiv,1.0913  
./mergedHard_CallMerge/EQ_is_prime2EQ_ltfive/libB: not equiv,1.4642   ; unknown,0.0000   ; not equiv,0.1665  
./mergedHard_CallMerge/EQ_is_prime2EQ_ltfiveBound/libA: equiv,5.2493   ; unknown,0.0000   ; equiv,1.2412  
./mergedHard_CallMerge/EQ_is_prime2EQ_ltfiveBound/libB: equiv,0.4048   ; unknown,0.0000   ; not equiv,0.1982  
./mergedHard_CallMerge/EQ_is_prime2EQ_multiple/libA: equiv,3.8901   ; unknown,0.0000   ; equiv,0.7303  
./mergedHard_CallMerge/EQ_is_prime2EQ_multiple/libB: equiv,6.1530   ; unknown,0.0000   ; equiv,1.6189  
./mergedHard_CallMerge/EQ_is_prime2EQ_multipleBound/libA: equiv,4.4391   ; unknown,0.0000   ; equiv,0.8763  
./mergedHard_CallMerge/EQ_is_prime2EQ_multipleBound/libB: equiv,5.9541   ; unknown,0.0000   ; equiv,3.1264  
./mergedHard_CallMerge/EQ_is_prime2EQ_odd/libA: not equiv,1.4059   ; unknown,0.0000   ; not equiv,0.6895  
./mergedHard_CallMerge/EQ_is_prime2EQ_odd/libB: not equiv,0.5594   ; unknown,0.0000   ; not equiv,0.2939  
./mergedHard_CallMerge/EQ_is_prime2EQ_one/libA: not equiv,1.4851   ; unknown,0.0000   ; not equiv,0.7579  
./mergedHard_CallMerge/EQ_is_prime2EQ_one/libB: not equiv,0.4842   ; unknown,0.0000   ; not equiv,0.1506  
./mergedHard_CallMerge/EQ_is_prime2EQ_oneBound/libA: not equiv,1.6928   ; unknown,0.0000   ; not equiv,0.9071  
./mergedHard_CallMerge/EQ_is_prime2EQ_oneBound/libB: equiv,0.3241   ; unknown,0.0000   ; not equiv,0.2047  
./mergedHard_CallMerge/EQ_is_prime2EQ_oneN2/libA: not equiv,1.4923   ; unknown,0.0000   ; not equiv,0.7594  
./mergedHard_CallMerge/EQ_is_prime2EQ_oneN2/libB: equiv,0.2761   ; unknown,0.0000   ; not equiv,0.1822  
./mergedHard_CallMerge/EQ_is_prime2EQ_pos/libA: equiv,2.9453   ; unknown,0.0000   ; equiv,0.8164  
./mergedHard_CallMerge/EQ_is_prime2EQ_pos/libB: not equiv,1.2986   ; unknown,0.0000   ; not equiv,0.1859  
./mergedHard_CallMerge/EQ_is_prime2EQ_pos2/libA: equiv,3.0222   ; unknown,0.0000   ; equiv,0.8130  
./mergedHard_CallMerge/EQ_is_prime2EQ_pos2/libB: equiv,17.6599  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EQ_is_prime2EXTRA_ultra_prime_sum/libA: equiv,6.9313   ; unknown,0.0000   ; equiv,0.7984  
./mergedHard_CallMerge/EQ_is_prime2EXTRA_ultra_prime_sum/libB: not equiv,297.0384 ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EQ_is_prime2NEQ_LoopMult20/libA: equiv,12.0688  ; unknown,0.0000   ; equiv,0.7094  
./mergedHard_CallMerge/EQ_is_prime2NEQ_LoopMult20/libB: not equiv,2.2061   ; unknown,0.0000   ; not equiv,0.4212  
./mergedHard_CallMerge/EQ_is_prime2NEQ_LoopUnreach20/libA: equiv,11.9456  ; unknown,0.0000   ; equiv,0.7086  
./mergedHard_CallMerge/EQ_is_prime2NEQ_LoopUnreach20/libB: equiv,0.9643   ; unknown,0.0000   ; equiv,0.1510  
./mergedHard_CallMerge/EQ_is_prime2NEQ_getSign/libA: not equiv,1.3467   ; unknown,0.0000   ; not equiv,0.6836  
./mergedHard_CallMerge/EQ_is_prime2NEQ_getSign/libB: equiv,0.2382   ; unknown,0.0000   ; equiv,0.1553  
./mergedHard_CallMerge/EQ_is_prime3EQ_UnchLoop/libA: not equiv,2.1652   ; unknown,0.0000   ; not equiv,0.2010  
./mergedHard_CallMerge/EQ_is_prime3EQ_UnchLoop/libB: timeout,300.0000 ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EQ_is_prime3EQ_is_prime2/libA: equiv,5.5158   ; unknown,0.0000   ; equiv,0.7662  
./mergedHard_CallMerge/EQ_is_prime3EQ_is_prime2/libB: equiv,5.5737   ; unknown,0.0000   ; equiv,0.7484  
./mergedHard_CallMerge/EQ_is_prime3EQ_odd/libA: equiv,5.2347   ; unknown,0.0000   ; equiv,0.7462  
./mergedHard_CallMerge/EQ_is_prime3EQ_odd/libB: not equiv,5.3086   ; unknown,0.0000   ; not equiv,8.6386  
./mergedHard_CallMerge/EQ_is_prime3EQ_pos/libA: equiv,113.7642 ; unknown,0.0000   ; equiv,0.9747  
./mergedHard_CallMerge/EQ_is_prime3EQ_pos/libB: timeout,300.0000 ; unknown,0.0000   ; not equiv,0.5691  
./mergedHard_CallMerge/EQ_is_prime3EQ_pos2/libA: equiv,114.4973 ; unknown,0.0000   ; equiv,0.9930  
./mergedHard_CallMerge/EQ_is_prime3EQ_pos2/libB: equiv,59.0722  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EQ_is_prime3EXTRA_ultra_prime_sum/libA: equiv,3.6867   ; unknown,0.0000   ; equiv,0.7566  
./mergedHard_CallMerge/EQ_is_prime3EXTRA_ultra_prime_sum/libB: not equiv,83.2481  ; unknown,0.0000   ; timeout,300.0000
./mergedHard_CallMerge/EQ_ltfiveBoundEQ_UnchLoop/libA: equiv,0.3445   ; unknown,0.0000   ; equiv,0.1839  
