./mergedHard/EQ_is_prime2EQ_LoopMult20/libA: not equiv,1.7256   ; not equiv,2.3048   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_is_prime2EQ_UnchLoop/libA: not equiv,1.1488   ; not equiv,1.6453   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_is_prime2EQ_odd/libA: not equiv,1.8214   ; not equiv,2.3751   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_is_prime2EQ_pos/libA: not equiv,9.6633   ; not equiv,9.8500   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_is_prime2EQ_pos2/libA: not equiv,9.5930   ; not equiv,9.8267   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_is_prime2EXTRA_ultra_prime_sum/libA: not equiv,6.2077   ; not equiv,8.2064   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_is_prime3EQ_LoopMult20/libA: not equiv,5.4126   ; not equiv,7.4490   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_is_prime3EQ_UnchLoop/libA: not equiv,2.3947   ; not equiv,3.3926   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_is_prime3EQ_odd/libA: not equiv,4.5303   ; not equiv,5.6002   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_is_prime3EQ_pos/libA: equiv,17.5521  ; equiv,19.8057  ; equiv,20.9134  ; unknown,0.0000  
./mergedHard/EQ_is_prime3EQ_pos2/libA: equiv,17.5753  ; equiv,19.3597  ; equiv,20.3735  ; unknown,0.0000  
./mergedHard/EQ_is_prime3EXTRA_ultra_prime_sum/libA: not equiv,7.3998   ; not equiv,8.9448   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_ltfiveBoundEQ_LoopMult20/libA: equiv,0.4911   ; equiv,0.8300   ; equiv,0.3604   ; unknown,0.0000  
./mergedHard/EQ_ltfiveBoundEQ_UnchLoop/libA: equiv,0.4235   ; equiv,0.7899   ; equiv,0.2983   ; unknown,0.0000  
./mergedHard/EQ_ltfiveBoundEQ_odd/libA: not equiv,0.7387   ; not equiv,1.2646   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_ltfiveBoundEQ_pos/libA: not equiv,0.7680   ; not equiv,1.3474   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_ltfiveBoundEQ_pos2/libA: not equiv,0.7665   ; not equiv,1.3347   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_ltfiveBoundEXTRA_ultra_prime_sum/libA: not equiv,2.3903   ; not equiv,2.5075   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_ltfiveEQ_LoopMult20/libA: not equiv,0.8808   ; not equiv,1.4600   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_ltfiveEQ_UnchLoop/libA: not equiv,0.8034   ; not equiv,1.3581   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_ltfiveEQ_odd/libA: not equiv,0.7322   ; not equiv,1.2884   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_ltfiveEQ_pos/libA: not equiv,0.7655   ; not equiv,1.3312   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_ltfiveEQ_pos2/libA: not equiv,0.7595   ; not equiv,1.3560   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_ltfiveEXTRA_ultra_prime_sum/libA: not equiv,2.1392   ; not equiv,3.1430   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_multipleBoundEQ_LoopMult20/libA: not equiv,0.7922   ; not equiv,1.3509   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_multipleBoundEQ_UnchLoop/libA: not equiv,0.6985   ; not equiv,1.2337   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_multipleBoundEQ_odd/libA: not equiv,0.9952   ; not equiv,1.5794   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_multipleBoundEQ_pos/libA: not equiv,0.8908   ; not equiv,1.4375   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_multipleBoundEQ_pos2/libA: not equiv,0.8923   ; not equiv,1.4667   ; not equiv,0.0000   ; unknown,0.0000  
./mergedHard/EQ_multipleBoundEXTRA_ultra_prime_sum/libA: equiv,43.4003  ; equiv,41.6698  ; equiv,40.4920  ; unknown,0.0000  
./mergedHard/EQ_multipleEQ_LoopMult20/libA: not equiv,0.7891   ; not equiv,1.3321   ; not equiv,0.0000   ; unknown,0.0000  
